timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
88032397,-0.9952518,3.6203296,-2.5112553,-1.254619,0.0020167073,1.2586538,2.5152924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
88042347,-3.0313807,3.8247344,-2.5101566,-1.2535203,0.0031183353,1.2597568,2.5163937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
88232399,0.42987442,1.0668877,-2.4183683,-0.87097603,0.16408998,0.9930642,2.2069502,-2.3607583,-1.0046453,-0.06360626,-0.83813477,-2.2578573,-1.1228524,-1.6716831,-0.5515406,0.6895864,0.33648968,0.028870739,0.12886235,0.43592992,0.33866018,0.06767682
88432402,0.47544459,0.2791914,-2.306389,-0.5122263,0.29940575,0.824407,1.9164058,-2.5411263,-0.46486235,0.09959602,-0.5021348,-2.2281914,-1.5058521,-1.7946215,-0.40280437,0.64928055,0.6813524,0.00034661812,0.038805287,0.5808933,0.37328705,0.006667742
88632409,0.468546,0.10079912,-2.0992322,-0.073927574,0.39555967,0.6263193,1.4930791,-3.8776236,-0.51782703,-0.2758665,-0.77929115,-2.9879866,-2.2908854,-2.0941472,-0.3427925,0.67028856,1.2985373,8.747149e-05,0.007112765,0.66218495,0.33052734,8.747149e-05
88832397,0.5147908,0.059152715,-1.9647807,0.16140315,0.47312748,0.60367113,1.2905064,-3.1332002,0.42898464,-0.04889393,-0.27635002,-2.232079,-3.3822958,-1.5510807,-0.27576113,0.26006985,1.3195662,6.305709e-05,0.0019392415,0.6741135,0.32382116,6.305709e-05
89032396,0.53972137,0.03710453,-1.771607,0.38708174,0.5231961,0.5745704,1.0803815,-3.634655,0.08195114,-0.60031414,-0.74980164,-2.5524254,-4.4375057,-1.3053253,-0.28803873,0.08316517,1.358777,7.637895e-05,0.0011741333,0.67359364,0.32507947,7.637895e-05
89232386,0.57458156,0.02562722,-1.5895655,0.5363483,0.5681823,0.5872098,0.9627552,-3.0962467,0.12902069,-0.54631996,-0.56139565,-2.0384598,-5.4777784,-0.84441423,-0.26797915,-0.04694271,1.3616142,6.762919e-05,0.0010437887,0.6591966,0.3396243,6.762919e-05
89432359,0.5766479,0.018620212,-1.4408954,0.6079593,0.5756129,0.578463,0.85240203,-2.8120203,-0.11605549,-0.64582634,-0.5958271,-1.7836571,-6.425649,-0.6000948,-0.30551195,-0.15300608,1.2907043,7.0751004e-05,0.0011662453,0.6332115,0.36548075,7.0751004e-05
89632358,0.5396588,0.014627619,-1.3273748,0.60943115,0.54168886,0.536604,0.745623,-2.1383696,-0.51915836,-0.8740711,-0.7853985,-1.6661987,-6.8139358,-0.46830082,-0.35006142,-0.2389946,1.0730972,8.4443775e-05,0.0014354157,0.59260595,0.4057898,8.4443775e-05
89832361,0.4638113,0.012459061,-1.2573937,0.54874986,0.46579754,0.46117017,0.65279543,-0.79970264,-0.7843723,-0.9924078,-0.8801317,-1.5130367,-5.923875,-0.18658447,-0.10602856,-0.008545399,1.0729909,8.304798e-05,0.001671051,0.5534525,0.44471037,8.304798e-05
90032361,0.3768395,0.011241354,-1.1978365,0.46947443,0.37912002,0.37470305,0.55521894,-0.20596886,-1.2198734,-1.3294134,-1.2146282,-1.7414865,-5.378196,-0.65276194,-0.5488858,-0.44854403,0.45380163,0.00016085878,0.0015646578,0.47995606,0.51815754,0.00016085878
90432391,0.23763454,0.009294958,-1.064588,0.33102453,0.24012217,0.23650171,0.3934111,-0.63877773,-1.296195,-1.2914295,-1.1766357,-1.5757589,-5.1779566,-0.7728238,-0.7408738,-0.64458513,0.25994205,0.0001787446,0.00097290456,0.32735804,0.67131156,0.0001787446
90632355,0.18238167,0.008819686,-1.0124733,0.28060582,0.18680467,0.18096769,0.3247317,-1.1921406,-1.3763151,-1.3774786,-1.2688675,-1.5545712,-4.8131046,-0.79721117,-0.7972331,-0.70804644,0.17507362,0.00022528209,0.00076575973,0.25950935,0.7392743,0.00022528209
90832382,0.14005521,0.0087933,-0.97272944,0.25510263,0.1501221,0.13791975,0.26487827,-2.0894594,-1.510149,-1.5498543,-1.4493637,-1.6011381,-4.63221,-1.0061407,-1.04912,-0.9711528,-0.10725784,0.00045956264,0.0006840828,0.19738087,0.8010159,0.00045956264
91032352,0.0533646,0.008848768,-0.994645,0.19332649,0.07214954,0.050438564,0.1563524,-2.8889875,-1.5594978,-1.6525564,-1.5658674,-1.604145,-4.5132265,-1.0814772,-1.1868286,-1.1302361,-0.30194235,0.0007514257,0.0008223994,0.15394795,0.8433852,0.0010930472
91232402,0.049191486,0.009924206,-0.9510789,0.22092398,0.08030665,0.04562235,0.12795845,-4.225731,-1.7903156,-2.0112896,-1.9606838,-1.8709822,-4.125453,-1.017817,-1.2016902,-1.1771183,-0.41556978,0.0021089157,0.0021089157,0.1352478,0.85715115,0.003383233
91432386,0.07555423,0.0112783015,-0.89672226,0.26377234,0.1148971,0.068907194,0.12623115,-5.2456055,-1.8055906,-2.1635227,-2.1719952,-2.0320768,-4.1675177,-0.9302621,-1.236865,-1.263989,-0.58246374,0.0037834009,0.011157648,0.15111934,0.8228181,0.011121554
91632412,0.0997415,0.0103444345,-0.8630526,0.26775432,0.1280964,0.077532835,0.11424138,-5.761448,-1.5376911,-1.9867191,-2.0596218,-1.9377956,-4.255023,-0.6210799,-1.04106,-1.1283517,-0.54854155,0.0017098228,0.068233386,0.19307368,0.7128619,0.024121244
91832400,0.1310676,0.011445871,-0.8446225,0.24370743,0.12229718,0.07284826,0.09507244,-6.1293497,-1.2694912,-1.7501183,-1.872179,-1.7909012,-4.3378243,-0.37323523,-0.8405142,-0.97132945,-0.49370337,0.00059613487,0.2788292,0.21092792,0.48004228,0.029604442
92032352,0.16158405,0.009146142,-0.8443725,0.20517884,0.10325822,0.05781002,0.07125277,-6.8209887,-1.3373146,-1.8237705,-1.980751,-1.9373016,-4.283859,-0.26749492,-0.7154298,-0.8626659,-0.47477317,0.00037411693,0.6609819,0.14057866,0.18149948,0.016565824
92232354,0.13091835,0.0055638,-0.85343945,0.14659952,0.064143166,0.024713995,0.033424266,-7.088051,-0.85339737,-1.3302574,-1.5108147,-1.4974442,-4.0736938,-0.08529782,-0.4990406,-0.65124774,-0.33212638,9.501058e-05,0.84509194,0.08081545,0.06658685,0.007410815
92432354,0.0999739,0.0038326213,-0.8559021,0.105277866,0.038068436,0.0042884075,0.010896563,-7.5931253,-0.8162632,-1.2517948,-1.4336529,-1.438879,-4.107256,-0.27046978,-0.6258719,-0.7675885,-0.49893713,8.0062266e-05,0.93400246,0.041273046,0.021692242,0.002952332
92632400,0.085448794,0.0029797242,-0.83752596,0.08750637,0.032657195,0.004024755,0.009824378,-8.0778475,-0.84083366,-1.2247906,-1.3962479,-1.4107342,-3.9258776,-0.1841842,-0.49315143,-0.6241243,-0.3929978,7.5095915e-05,0.96816957,0.022526054,0.008001441,0.0012279104
92832374,0.09077098,0.0024514943,-0.7961877,0.09179081,0.046530716,0.022205347,0.027572125,-8.264872,-0.58008003,-0.9142666,-1.0710926,-1.0874481,-3.8650458,-0.19828,-0.46955156,-0.590303,-0.38811815,5.713359e-05,0.9807459,0.014648249,0.0038840943,0.0006645711
93032399,0.09868176,0.0020961906,-0.75384206,0.09930615,0.060513776,0.03936204,0.044745043,-8.286742,-0.36580276,-0.65003014,-0.78790474,-0.8034706,-3.8242512,-0.22155017,-0.4575624,-0.5666712,-0.38842636,4.9426188e-05,0.9862661,0.010901008,0.0023397505,0.00044374852
93232400,0.045568448,0.0018621616,-0.7791537,0.04597097,0.012382048,-0.0062243496,-0.0008236832,-8.423225,-0.58540154,-0.82200813,-0.9391289,-0.9536743,-3.5597873,-0.15558553,-0.3519423,-0.44485176,-0.28838825,5.536021e-05,0.9900796,0.008137433,0.0014376764,0.0002898728
93432399,-0.018990014,0.0017169905,-0.82682407,-0.018718889,-0.049024597,-0.06593958,-0.06019885,-8.398666,-0.7925339,-0.9881897,-1.0864296,-1.0987854,-3.5189667,-0.43615305,-0.5960258,-0.6724223,-0.53548896,7.554023e-05,0.9932936,0.0056482493,0.00080293143,0.00017977644
93632375,-0.04875906,0.0016717298,-0.8504245,-0.048510365,-0.07681541,-0.0926143,-0.08622217,-8.581978,-1.179327,-1.3477421,-1.4333076,-1.441782,-3.4071307,-0.7564471,-0.8860922,-0.9476538,-0.82849073,0.0001742787,0.9957379,0.0035273344,0.00038620172,0.0001742787
93832397,-0.021059092,0.0017035898,-0.82181025,-0.02072625,-0.0478703,-0.06295736,-0.055854302,-8.63382,-1.3402119,-1.4904041,-1.5674953,-1.570755,-3.2638168,-1.0310022,-1.13864,-1.1889762,-1.0858017,0.00034512993,0.9968176,0.0021470312,0.00034512993,0.00034512993
94032361,0.030737445,0.0019707012,-0.77271384,0.031448398,0.0049789,-0.009627773,-0.0017697053,-8.852446,-1.5604515,-1.7024899,-1.7760715,-1.7729702,-2.9723613,-1.267072,-1.3536551,-1.3929067,-1.30516,0.0008524033,0.9961766,0.0012662545,0.0008524033,0.0008524033
94232371,0.0818812,0.0030098862,-0.7251652,0.083955295,0.057785265,0.043465745,0.05202911,-9.05365,-1.6850224,-1.8267307,-1.90061,-1.8897076,-2.5527587,-1.6089907,-1.6702461,-1.6959004,-1.6246977,0.002520487,0.989918,0.002520487,0.002520487,0.002520487
94432402,0.08171186,0.00862917,-0.7225963,0.09096584,0.06487087,0.050704133,0.0598091,-9.276752,-1.7649803,-1.9122524,-1.989254,-1.9695377,-2.0988905,-2.061167,-2.0948384,-2.1057317,-2.0517576,0.011188165,0.9552473,0.011188165,0.011188165,0.011188165
94632357,0.06429984,0.011195011,-0.7384137,0.07689856,0.050991345,0.03702273,0.04649543,-9.535441,-1.72826,-1.8828735,-1.9638577,-1.9358044,-1.6532235,-2.179625,-2.198122,-2.2012448,-2.1597033,0.015215028,0.9391398,0.015215028,0.015215028,0.015215028
