timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
68228159,68227353,0.059899118,-0.00013906458,-0.065896235,-0.0,0.0,0.0,0.0,0.0
68238209,68237350,0.059815317,6.0127377e-06,-0.065793216,-0.0,0.0,0.0,0.0,0.0
68283187,68282350,0.059670094,6.657533e-05,-0.065858744,-0.0,0.0,0.0,0.0,0.0
68288163,68287391,0.05973796,-1.9633399e-06,-0.06593315,-0.0,0.0,0.0,0.0,0.0
68293246,68292396,0.059688836,-1.835128e-06,-0.06598556,-0.0,0.0,0.0,0.0,0.0
68298173,68297347,0.0596682,0.00014162979,-0.065983176,-0.0,0.0,0.0,0.0,0.0
68303219,68302347,0.059655342,0.00024983918,-0.06599697,-0.0,0.0,0.0,0.0,0.0
68308126,68307347,0.05961757,0.00014203525,-0.06592328,-0.0,0.0,0.0,0.0,0.0
68313222,68312397,0.059602756,9.275131e-06,-0.06582303,-0.0,0.0,0.0,0.0,0.0
68318190,68317356,0.059615634,-1.52075e-05,-0.065761365,-0.0,0.0,0.0,0.0,0.0
68323241,68322347,0.059574805,4.3542517e-05,-0.06573924,-0.0,0.0,0.0,0.0,0.0
68328136,68327351,0.059516907,5.081884e-05,-0.06571407,-0.0,0.0,0.0,0.0,0.0
68333244,68332411,0.059347834,0.00010110236,-0.06569898,-0.0,0.0,0.0,0.0,0.0
68338182,68337347,0.059358172,-9.4021296e-08,-0.065763295,-0.0,0.0,0.0,0.0,0.0
68343194,68342347,0.05938035,-7.3233175e-05,-0.06583393,-0.0,0.0,0.0,0.0,0.0
68348129,68347350,0.059423815,-9.7751785e-05,-0.06585035,-0.0,0.0,0.0,0.0,0.0
68353233,68352396,0.059479,-6.614437e-05,-0.065721855,-0.0,0.0,0.0,0.0,0.0
68358186,68357349,0.059507754,-4.924218e-05,-0.065562196,-0.0,0.0,0.0,0.0,0.0
68363195,68362356,0.059438094,-9.1218586e-05,-0.0655521,-0.0,0.0,0.0,0.0,0.0
68368229,68367347,0.059245665,9.6951764e-05,-0.06560471,-0.0,0.0,0.0,0.0,0.0
68373182,68372375,0.0591954,0.00016845553,-0.06564637,-0.0,0.0,0.0,0.0,0.0
68378198,68377350,0.059222434,5.7784702e-05,-0.06570828,-0.0,0.0,0.0,0.0,0.0
68383194,68382391,0.059143078,-6.2586456e-05,-0.06574429,-0.0,0.0,0.0,0.0,0.0
68388224,68387347,0.05902721,-5.618996e-06,-0.065648444,-0.0,0.0,0.0,0.0,0.0
68393212,68392383,0.05903444,0.00012273579,-0.06568883,-0.0,0.0,0.0,0.0,0.0
68398218,68397350,0.0590177,0.0001652154,-0.06570685,-0.0,0.0,0.0,0.0,0.0
68403218,68402347,0.0590652,8.138654e-05,-0.065658584,-0.0,0.0,0.0,0.0,0.0
68408248,68407347,0.05911177,3.6885787e-05,-0.06566242,-0.0,0.0,0.0,0.0,0.0
68413222,68412353,0.059072953,3.0209696e-05,-0.06565065,-0.0,0.0,0.0,0.0,0.0
68418207,68417360,0.0589147,4.3079e-05,-0.06569438,-0.0,0.0,0.0,0.0,0.0
68423276,68422355,0.05890042,4.980474e-06,-0.06570074,-0.0,0.0,0.0,0.0,0.0
68428212,68427349,0.058852624,-8.239827e-05,-0.0657073,-0.0,0.0,0.0,0.0,0.0
68433356,68432359,0.058726475,-5.2594558e-05,-0.06570439,-0.0,0.0,0.0,0.0,0.0
68438295,68437349,0.05861757,2.9120221e-05,-0.06569076,-0.0,0.0,0.0,0.0,0.0
68443314,68442347,0.05871772,8.729131e-05,-0.06578482,-0.0,0.0,0.0,0.0,0.0
68448279,68447357,0.058763545,8.059127e-05,-0.06577256,-0.0,0.0,0.0,0.0,0.0
68453414,68452393,0.058692172,1.1058814e-05,-0.06573859,-0.0,0.0,0.0,0.0,0.0
68458190,68457366,0.058618877,2.7199474e-06,-0.06570723,-0.0,0.0,0.0,0.0,0.0
68463302,68462383,0.058722846,4.286836e-05,-0.06561224,-0.0,0.0,0.0,0.0,0.0
68468243,68467388,0.058757138,-8.223354e-05,-0.06560052,-0.0,0.0,0.0,0.0,0.0
68473242,68472356,0.058699608,-0.00014817152,-0.06568732,-0.0,0.0,0.0,0.0,0.0
68478202,68477349,0.058718238,-5.1617546e-05,-0.06570276,-0.0,0.0,0.0,0.0,0.0
68483196,68482347,0.05870859,0.00011569792,-0.06565388,-0.0,0.0,0.0,0.0,0.0
68488219,68487349,0.058602557,1.4180018e-06,-0.06560505,-0.0,0.0,0.0,0.0,0.0
68493275,68492371,0.05839248,-2.3652365e-05,-0.065599374,-0.0,0.0,0.0,0.0,0.0
68498202,68497392,0.05843925,-2.4381297e-05,-0.06570858,-0.0,0.0,0.0,0.0,0.0
68503279,68502401,0.058486816,-0.00010701295,-0.06569659,-0.0,0.0,0.0,0.0,0.0
68508227,68507394,0.05853144,-0.00011410923,-0.06573336,-0.0,0.0,0.0,0.0,0.0
68513294,68512383,0.058598656,-0.00010950878,-0.06571331,-0.0,0.0,0.0,0.0,0.0
68518208,68517377,0.058585256,-0.00020344568,-0.06566704,-0.0,0.0,0.0,0.0,0.0
68523280,68522407,0.05867239,-0.00016418948,-0.06570136,-0.0,0.0,0.0,0.0,0.0
68528228,68527366,0.058646068,-0.00020512826,-0.0657401,-0.0,0.0,0.0,0.0,0.0
68533288,68532431,0.058522735,-6.817195e-05,-0.065757036,-0.0,0.0,0.0,0.0,0.0
68538235,68537376,0.058548376,0.00012677361,-0.06574595,-0.0,0.0,0.0,0.0,0.0
68543307,68542453,0.058616042,6.758386e-05,-0.06573663,-0.0,0.0,0.0,0.0,0.0
68548232,68547390,0.058586024,-6.1862156e-05,-0.06574443,-0.0,0.0,0.0,0.0,0.0
68553239,68552380,0.05866428,-3.122112e-05,-0.065689705,-0.0,0.0,0.0,0.0,0.0
68558292,68557380,0.058741324,-5.106275e-05,-0.06567893,-0.0,0.0,0.0,0.0,0.0
68563203,68562350,0.058749605,-8.8022534e-05,-0.06563526,-0.0,0.0,0.0,0.0,0.0
