timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
69216735,69216282,2359306,2.3628378,0.6933608,-9.479123,46.30326,0,0,0,0
70216917,70216457,2359306,2.3906105,0.47261545,-9.256462,46.542877,0,0,0,0
71214602,71214140,2359306,2.3360226,0.69000894,-9.481997,46.351185,0,0,0,0
72214783,72214329,2359306,2.3997083,0.64332205,-9.3421755,46.351185,0,0,0,0
73214951,73214505,2359306,2.48159,0.6241684,-9.413762,46.686646,0,0,0,0
74215169,74214696,2359306,2.4140735,0.62728083,-9.561484,46.39911,0,0,0,0
75215341,75214877,2359306,2.4104822,0.61028206,-9.379046,46.830414,0,0,0,0
76215535,76215064,2359306,2.339614,0.76901764,-9.189186,46.686646,0,0,0,0
78215913,78215451,2359306,2.2857444,0.7058107,-9.515994,46.830414,0,0,0,0
79216106,79215658,2359306,2.4047363,0.7771579,-9.219831,46.73457,0,0,0,0
80216291,80215841,2359306,2.3116016,1.1154586,-9.396045,46.878338,0,0,0,0
81216483,81216041,2359306,2.2766464,1.4590266,-9.49708,47.070026,0,0,0,0
83216889,83216448,2359306,0.95456827,-4.2453985,-11.399034,47.11795,0,0,0,0
84214611,84214152,2359306,-1.5782578,-3.568079,-11.776838,47.11795,0,0,0,0
85214863,85214380,2359306,1.7609353,1.4257472,-6.76362,47.11795,0,0,0,0
86215045,86214574,2359306,4.8975787,2.8476636,-12.681369,47.2138,0,0,0,0
87215241,87214790,2359306,13.112085,4.331829,-16.167326,47.2138,0,0,0,0
88215444,88214994,2359306,8.283459,-1.7391481,-6.1399302,47.549255,0,0,0,0
89215658,89215207,2359306,7.0990477,4.505409,-14.694892,47.357567,0,0,0,0
90215879,90215422,2359306,6.4281926,-2.5730488,-3.9018307,47.405487,0,0,0,0
91216095,91215642,2359306,7.2156453,0.8305486,-9.772653,47.59718,0,0,0,0
92216318,92215865,2359306,6.5991383,-1.5672445,-10.887632,47.884716,0,0,0,0
93216547,93216088,2359306,8.768525,-4.9464207,-18.277815,47.59718,0,0,0,0
94216766,94216308,2359306,6.561549,-4.0167522,-20.10196,47.884716,0,0,0,0
95216994,95216535,2359306,8.168537,0.12880805,-14.465049,47.884716,0,0,0,0
96217214,96216764,2359306,6.310877,-0.7769185,-5.879202,47.93264,0,0,0,0
97214947,97214496,2359306,5.366124,-0.9059659,-12.887988,48.07641,0,0,0,0
98215181,98214731,2359306,1.5277402,-6.6905966,-6.543593,48.41187,0,0,0,0
99215407,99214963,2359306,4.918169,-2.960191,-11.68562,47.884716,0,0,0,0
100218142,100217696,2359306,9.073306,-1.62686,-8.569088,48.124332,0,0,0,0
101215882,101215435,2359306,0.65242,-4.0933666,-4.221217,48.07641,0,0,0,0
102216121,102215676,2359306,6.9259467,-1.483208,-9.873448,48.2681,0,0,0,0
103216384,103215930,2359306,8.556158,-4.0938454,-15.674121,48.2681,0,0,0,0
104216599,104216157,2359306,8.699572,-1.9486408,-14.423629,48.31602,0,0,0,0
105216858,105216405,2359306,2.364035,-5.234204,-6.7600284,48.45979,0,0,0,0
108215099,108214646,2359306,7.4773316,1.1733983,-14.418602,48.65148,0,0,0,0
109215398,109214907,2359306,1.8950106,-0.96414506,-7.467276,48.507713,0,0,0,0
110215607,110215150,2359306,0.52217543,-0.13575123,-3.3020833,48.699406,0,0,0,0
111215857,111215405,2359306,0.09888053,0.87891144,0.544202,48.603558,0,0,0,0
112216111,112215663,2359306,0.98210156,1.4808137,-2.8998573,48.79525,0,0,0,0
113216377,113215917,2359306,4.5348573,3.016694,-10.047986,48.79525,0,0,0,0
114216624,114216176,2359306,2.6417623,0.11061212,-12.150096,48.986942,0,0,0,0
115216889,115216440,2359306,-0.1778892,0.14341268,-11.518026,48.986942,0,0,0,0
