timestamp,main_state
67939446,6
68447178,6
68955989,6
69459428,6
69965738,6
70472245,6
70981425,6
71488755,6
71996827,6
72498957,6
73007215,6
73517634,6
74019051,6
74526467,6
75036174,6
75539051,6
76047189,6
76557443,6
77569451,6
78070185,6
78581326,6
79086182,6
79587178,6
80097506,6
80607177,6
81110177,6
81612177,6
82120174,6
84148756,6
84658901,6
85165812,6
85671219,6
86181341,6
86689379,6
87199009,6
87708824,6
88208929,6
88710250,6
89216659,6
89717451,6
90227462,6
90739182,6
91241553,6
91751412,6
92252194,6
92759135,6
93265817,6
93768840,6
94270193,6
94779184,6
95279259,6
95779295,6
96288709,6
96790183,6
97290192,6
97800207,6
98300963,6
98802189,6
99306299,6
99807238,6
100310535,6
100812564,6
101317561,6
101821453,6
102327175,6
102837525,6
103340189,6
103841526,6
104345887,6
104852238,6
105355867,6
107379188,6
107890497,6
108399176,6
108901462,6
109412223,6
109916128,6
110417404,6
110917480,6
111419298,6
111931258,6
112441509,6
112946469,6
113450207,6
113950449,6
114459134,6
114960225,6
115465069,6
115971354,6
116479086,6
116987290,6
117498983,6
118001323,6
119519248,6
120021384,6
120526222,6
121028975,6
121539361,6
122041415,6
122541454,6
123045725,6
123546267,6
124047241,6
124556592,6
125065810,6
125570697,6
126081405,6
126590656,6
127101092,6
127611179,6
129132306,6
129637391,6
130137518,6
130649027,6
131159091,6
131665705,6
132166917,6
132677481,6
133180194,6
133688933,6
134197521,6
134702515,6
135210203,6
135719185,6
136225004,6
136728957,6
137230614,6
137739094,6
138239317,6
138747226,6
139259277,6
140270190,6
140772182,6
141279446,6
141787143,6
142287236,6
142792330,6
143309030,6
143817451,6
144319144,6
144821342,6
146328875,6
146830196,6
147337388,6
147839188,6
148341781,6
148852178,6
149357408,6
149866405,6
150377393,6
150886425,6
151397745,6
151899280,6
152401444,6
152910604,6
153412590,6
153921451,6
154430948,6
154931178,6
155441572,6
155947178,6
156459356,6
158491178,6
159001450,6
159512183,6
160020191,6
160520226,6
161028748,6
161528996,6
162031038,6
162539276,6
163041341,6
163541590,6
164048926,6
164549034,6
165050194,6
165552221,6
166059106,6
166561372,6
167067085,6
167569657,6
168079105,6
168587004,6
169599322,6
170110693,6
170616055,6
171119357,6
171627256,6
172127414,6
172630178,6
173141523,6
173652176,6
174159315,6
174667462,6
175171178,6
175671186,6
176179328,6
176688821,6
179716178,6
180219344,6
180721490,6
181231176,6
181731247,6
182240640,6
182749437,6
183252269,6
183761368,6
184261425,6
184767702,6
185270513,6
185779239,6
186279331,6
186790195,6
187292183,6
187799134,6
188301598,6
188809533,6
189319156,6
189827470,6
190332178,6
190838975,6
191339129,6
191841394,6
192346574,6
192852280,6
193359354,6
193866322,6
194366414,6
194877421,6
195379184,6
195879371,6
196381351,6
196886299,6
197386272,6
197886282,6
198397689,6
198899240,6
199410222,6
199910545,6
200412176,6
200919317,6
201421359,6
201926155,6
202430509,6
202931237,6
203439419,6
203945874,6
204952556,6
205460186,6
205970487,6
206476188,6
207490476,6
207999079,6
208508845,6
209009600,6
209512176,6
211546349,6
212052239,6
212560191,6
213070465,6
213577545,6
214081479,6
214590187,6
215096185,6
215601486,6
216106398,6
216606971,6
217107455,6
217619440,6
218130178,6
218637489,6
219137542,6
219647182,6
220149329,6
220650183,6
221152175,6
221652179,6
222152538,6
222657474,6
223159086,6
223659295,6
224166315,6
224672178,6
225172197,6
225672561,6
226180184,6
226687235,6
227192179,6
227701399,6
228205773,6
231229573,6
231730570,6
232239214,6
232748755,6
233257529,6
233767209,6
234268855,6
234772236,6
235286237,6
235790195,6
236292181,6
236796667,6
237299194,6
237806988,6
238316180,6
238826395,6
239327458,6
239829444,6
240330549,6
240831202,6
241331223,6
241832178,6
242337393,6
242839181,6
243347175,6
243850227,6
244352625,6
244858965,6
245361523,6
245872278,6
246892179,6
247401386,6
247910650,6
248412223,6
249425729,6
249929002,6
250431403,6
250932178,6
251082095,6
251585691,6
