timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
68525553,25.493801,25.47428,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.245713,4.245713,4.245713,4.245713,4.245713,4.245713,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
68825513,25.493801,25.474867,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.245811,4.245811,4.245811,4.245811,4.245811,4.245811,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
69125575,25.4856,25.475634,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.245939,4.245939,4.245939,4.245939,4.245939,4.245939,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
69425464,25.461,25.474344,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.245724,4.245724,4.245724,4.245724,4.245724,4.245724,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
69725475,25.4774,25.471395,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2452326,4.2452326,4.2452326,4.2452326,4.2452326,4.2452326,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
70025231,25.4774,25.472208,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.245368,4.245368,4.245368,4.245368,4.245368,4.245368,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
70325258,25.4856,25.472614,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2454357,4.2454357,4.2454357,4.2454357,4.2454357,4.2454357,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
70625540,25.4856,25.471205,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2452006,4.2452006,4.2452006,4.2452006,4.2452006,4.2452006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
70925220,25.493801,25.470688,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.245115,4.245115,4.245115,4.245115,4.245115,4.245115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
71225563,25.4528,25.473692,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2456155,4.2456155,4.2456155,4.2456155,4.2456155,4.2456155,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
71525473,25.4774,25.45424,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2423735,4.2423735,4.2423735,4.2423735,4.2423735,4.2423735,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
71825529,25.461,25.426876,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2378125,4.2378125,4.2378125,4.2378125,4.2378125,4.2378125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
72125235,25.379,25.40907,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2348447,4.2348447,4.2348447,4.2348447,4.2348447,4.2348447,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
72425476,25.403599,25.39423,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.232372,4.232372,4.232372,4.232372,4.232372,4.232372,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
72725236,25.313398,25.373339,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.22889,4.22889,4.22889,4.22889,4.22889,4.22889,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
73025256,25.354399,25.369781,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2282968,4.2282968,4.2282968,4.2282968,4.2282968,4.2282968,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
73325521,25.100199,25.362715,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.227119,4.227119,4.227119,4.227119,4.227119,4.227119,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
73625507,25.2724,25.340937,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2234893,4.2234893,4.2234893,4.2234893,4.2234893,4.2234893,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
73925471,25.280598,25.315044,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.219174,4.219174,4.219174,4.219174,4.219174,4.219174,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
74225593,24.747599,25.293268,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2155447,4.2155447,4.2155447,4.2155447,4.2155447,4.2155447,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
74525581,25.0428,25.288198,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2146997,4.2146997,4.2146997,4.2146997,4.2146997,4.2146997,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
74825536,25.0264,25.291006,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2151675,4.2151675,4.2151675,4.2151675,4.2151675,4.2151675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
75125615,25.502,25.301672,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.216945,4.216945,4.216945,4.216945,4.216945,4.216945,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
75425603,25.4774,25.341017,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2235026,4.2235026,4.2235026,4.2235026,4.2235026,4.2235026,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
75725684,25.4118,25.374517,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2290864,4.2290864,4.2290864,4.2290864,4.2290864,4.2290864,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
76025252,25.461,25.40303,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2338386,4.2338386,4.2338386,4.2338386,4.2338386,4.2338386,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
76325220,25.4856,25.421694,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.236949,4.236949,4.236949,4.236949,4.236949,4.236949,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
76625617,25.493801,25.438667,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.239778,4.239778,4.239778,4.239778,4.239778,4.239778,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
76925556,25.5102,25.448044,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2413406,4.2413406,4.2413406,4.2413406,4.2413406,4.2413406,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
77825491,25.3708,25.439213,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2398686,4.2398686,4.2398686,4.2398686,4.2398686,4.2398686,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
78125559,25.42,25.427485,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.237914,4.237914,4.237914,4.237914,4.237914,4.237914,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
78425237,25.4282,25.423615,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.237269,4.237269,4.237269,4.237269,4.237269,4.237269,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
78725515,25.4118,25.421925,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2369876,4.2369876,4.2369876,4.2369876,4.2369876,4.2369876,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
79025461,25.3954,25.413782,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2356305,4.2356305,4.2356305,4.2356305,4.2356305,4.2356305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
79325520,25.3872,25.403261,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2338767,4.2338767,4.2338767,4.2338767,4.2338767,4.2338767,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
79625261,25.3708,25.396494,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.232749,4.232749,4.232749,4.232749,4.232749,4.232749,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
79925482,25.354399,25.386988,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2311645,4.2311645,4.2311645,4.2311645,4.2311645,4.2311645,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
80225489,25.321598,25.377737,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.229623,4.229623,4.229623,4.229623,4.229623,4.229623,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
80525236,25.215,25.343334,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.223889,4.223889,4.223889,4.223889,4.223889,4.223889,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
80825503,25.108398,25.291918,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.2153196,4.2153196,4.2153196,4.2153196,4.2153196,4.2153196,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
81125558,25.100199,25.239468,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.206578,4.206578,4.206578,4.206578,4.206578,4.206578,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
81425226,25.100199,25.19148,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.1985803,4.1985803,4.1985803,4.1985803,4.1985803,4.1985803,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
81725585,25.01,25.148973,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.1914954,4.1914954,4.1914954,4.1914954,4.1914954,4.1914954,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
83225229,23.927599,24.570854,0.0,0.0,0.0,0.0,1.0,1.0,nan,6,4.0951424,4.0951424,4.0951424,4.0951424,4.0951424,4.0951424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
84125611,22.058,23.46275,0.0,0.0,0.0,0.0,0.90205747,1.0117973,nan,6,3.9104583,3.9104583,3.9104583,3.9104583,3.9104583,3.9104583,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
84425568,22.1482,23.08248,0.0,0.0,0.0,0.0,0.80597574,1.0236442,nan,6,3.84708,3.84708,3.84708,3.84708,3.84708,3.84708,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
84725502,21.525,22.738417,0.0,0.0,0.0,0.0,0.7140463,1.0352418,nan,6,3.789736,3.789736,3.789736,3.789736,3.789736,3.789736,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
85025496,21.5824,22.422733,0.0,0.0,0.0,0.0,0.62570363,1.0466372,nan,6,3.7371223,3.7371223,3.7371223,3.7371223,3.7371223,3.7371223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
85325255,21.3692,22.143394,0.0,0.0,0.0,0.0,0.54511815,1.057253,nan,6,3.6905658,3.6905658,3.6905658,3.6905658,3.6905658,3.6905658,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
85625256,21.3938,21.917435,0.0,0.0,0.0,0.0,0.47909242,1.0661126,nan,6,3.6529057,3.6529057,3.6529057,3.6529057,3.6529057,3.6529057,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
85925596,21.32,21.748062,0.0,0.0,0.0,0.0,0.42953044,1.0728612,nan,6,3.624677,3.624677,3.624677,3.624677,3.624677,3.624677,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
86225584,21.057598,21.616497,0.0,0.0,0.0,0.0,0.3907917,1.0781959,nan,6,3.6027496,3.6027496,3.6027496,3.6027496,3.6027496,3.6027496,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
