timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
67654424,0,0,122,128,100,35,43
68582309,0,0,122,126,98,38,48
69610502,0,0,122,126,100,39,46
70655799,0,0,114,115,100,38,44
71580681,0,0,117,120,100,37,45
72625818,0,0,119,122,97,43,43
73667306,0,0,119,122,95,39,42
74585797,0,0,119,122,97,39,46
75622358,0,0,119,122,100,37,53
76666250,0,0,120,123,96,38,48
77607312,0,0,120,123,99,41,48
78641522,0,0,122,123,95,34,44
79665062,0,0,120,125,100,34,48
80608770,0,0,117,119,100,33,47
81635278,0,0,115,116,96,37,43
84640791,0,0,119,121,96,36,47
85676079,0,0,114,121,100,35,44
86602302,0,0,113,115,100,36,42
87654487,0,0,109,116,100,36,42
88586243,0,0,102,106,100,38,50
89616040,0,0,106,111,95,39,47
90641407,0,0,122,129,97,40,45
91577307,1,0,107,126,97,41,45
92619201,1,0,94,96,97,38,52
93661337,1,0,100,102,97,38,45
94587316,1,0,104,108,100,39,46
95646194,1,0,107,111,97,39,48
96668882,1,0,107,110,100,40,45
97586109,1,0,106,109,96,43,48
98641302,1,0,106,109,100,38,47
99666176,1,0,106,107,100,40,48
100709449,1,0,105,109,96,41,44
101626257,1,0,98,108,100,40,45
102690693,1,0,93,97,100,41,44
103606316,1,0,94,96,100,40,48
104636010,1,0,93,95,100,40,44
105580733,1,0,93,95,100,43,44
107642304,2,0,71,88,97,42,42
108578933,2,0,62,66,97,41,43
109609336,2,0,61,63,96,39,42
110652559,6,0,59,63,97,39,42
111696311,6,0,64,65,95,39,43
112619328,6,0,72,73,99,41,43
113652309,6,0,78,80,100,39,42
114587319,6,0,69,72,98,41,39
115619164,6,0,61,66,100,38,40
116661394,7,0,59,66,96,40,40
117580819,8,0,62,64,98,40,40
119657313,8,0,75,78,100,38,43
120592303,8,0,75,77,96,40,40
121629039,8,0,70,70,100,40,40
122679087,8,0,68,68,100,38,42
123598957,8,0,68,67,95,38,38
124630486,8,0,69,68,100,38,42
125677541,8,0,70,69,100,38,40
126587311,8,0,75,76,99,39,41
127642402,8,0,84,84,95,39,42
129607318,8,0,87,86,99,41,43
130661395,8,0,89,92,97,37,41
131580689,8,0,92,95,100,40,36
132615847,8,0,85,89,100,41,37
133666259,8,0,94,92,96,39,40
134590550,8,0,96,95,100,36,41
135609392,8,0,84,79,100,39,46
136659317,9,0,84,87,96,34,41
137587131,9,0,95,99,100,38,36
138631311,9,0,97,100,100,38,40
139679315,9,0,93,94,97,36,39
140589711,9,0,88,88,100,36,36
141620749,9,0,85,89,100,37,41
143595994,9,0,83,90,97,40,38
144626319,9,0,85,84,97,38,40
146594987,10,0,69,72,100,39,40
147651313,11,0,85,84,92,42,41
148688752,11,0,79,82,96,34,40
149607068,12,0,83,83,100,39,40
150659321,12,0,81,83,96,35,41
151579300,12,0,83,84,100,33,35
152607308,12,0,82,83,96,36,39
153655909,12,0,82,83,100,34,41
154586552,12,0,83,83,100,37,40
155637088,12,0,81,80,100,35,40
156647306,12,0,77,79,100,35,43
158631314,12,0,67,69,100,37,45
159667393,12,0,64,68,96,34,39
160580943,12,0,65,67,100,34,45
161645753,12,0,70,71,97,39,43
162668829,12,0,72,78,95,35,44
163596535,12,0,69,72,95,37,40
164761310,12,0,61,63,91,36,42
165667198,12,0,66,70,100,36,44
166599313,14,0,62,70,100,34,44
167769394,16,0,59,70,90,34,44
169631340,18,0,56,64,98,38,48
170777300,18,0,58,63,97,36,54
171677311,20,0,67,65,96,33,50
172616113,20,0,80,87,97,33,53
173667283,20,0,76,78,100,35,54
174589400,20,0,75,79,100,39,50
175630315,20,0,82,85,97,37,48
176650623,20,0,82,88,100,38,52
179665766,20,0,93,96,100,37,52
180705900,20,0,93,96,97,37,49
181620692,20,0,90,92,97,35,49
182675841,20,0,94,96,95,33,49
183628582,20,0,101,104,100,37,47
184628897,20,0,99,102,100,34,52
185669306,20,0,93,95,100,33,54
186622310,20,0,93,88,97,35,50
187628792,20,0,93,92,96,37,48
188688942,20,0,100,99,100,36,52
189608848,20,0,88,91,100,38,51
190635297,20,0,80,84,100,36,52
191677422,20,0,74,80,99,37,51
192607060,22,0,68,80,100,38,51
193652300,22,0,76,76,98,40,54
194579452,22,0,77,80,100,36,52
195622311,23,0,70,75,96,39,53
196645886,23,0,75,83,100,38,53
197580781,23,0,70,77,100,41,52
198629371,23,0,77,79,93,38,52
199579309,23,0,68,72,100,38,54
200619829,24,0,67,72,100,37,54
201622323,24,0,70,73,97,37,53
202585061,24,0,72,75,100,37,50
203588838,24,0,69,74,100,36,50
204646063,24,0,70,76,97,37,53
205685829,24,0,72,75,100,36,51
206599311,24,0,75,79,100,37,51
207630641,24,0,79,79,98,40,50
208680662,24,0,75,77,100,38,50
211588762,24,0,73,74,100,40,48
212601359,24,0,73,75,100,37,50
213659051,24,0,77,77,100,40,52
214581366,24,0,77,78,100,39,51
215615066,24,0,75,79,97,40,51
216652304,24,0,70,79,100,38,52
217595479,24,0,69,75,100,38,52
218616313,24,0,67,73,97,38,52
219647325,24,0,64,72,100,38,50
220596609,25,0,68,70,97,40,52
221610513,25,0,72,75,100,40,54
222576290,25,0,72,75,98,41,53
223587333,25,0,68,72,96,39,52
224639081,25,0,68,72,100,37,53
225685881,25,0,68,71,96,40,52
226589323,25,0,67,71,100,37,48
227627325,25,0,62,71,99,36,56
231685757,25,0,81,84,100,38,53
232606648,25,0,80,84,100,39,51
233646313,25,0,84,86,97,36,50
234585089,25,0,87,90,100,37,54
235612540,25,0,88,90,97,36,51
236579028,25,0,90,93,100,43,55
237585631,25,0,90,93,97,41,51
238626173,25,0,92,94,97,37,50
