timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
68282822,68282350,-0.00480159,-0.00036756566,0.001393384
68285327,68284853,-0.0052104522,-0.0001402655,0.0016784664
68287862,68287391,-0.005392927,1.0839143e-05,0.002038633
68290313,68289847,-0.0051772683,8.72892e-05,0.0023302312
68292862,68292396,-0.0049658655,1.0131769e-05,0.0025083208
68295338,68294871,-0.004848044,-0.00032997868,0.0025521987
68297819,68297347,-0.0047920435,-0.0007819927,0.0025001012
68300313,68299847,-0.0047093336,-0.0011910445,0.002529409
68302822,68302347,-0.004671793,-0.0013793745,0.0026098662
68305321,68304853,-0.0046233097,-0.0012032165,0.0024196212
68307819,68307347,-0.004339366,-0.00078418356,0.0019614287
68310313,68309847,-0.004151169,-0.00036045964,0.0014716376
68312867,68312397,-0.004201774,-5.1205272e-05,0.001067419
68315323,68314856,-0.0043102545,0.000105417974,0.0007850652
68317834,68317356,-0.0043282537,8.3965635e-05,0.0005458622
68320352,68319884,-0.0041278093,-8.349665e-05,0.00039923753
68322821,68322347,-0.003964302,-0.00024040307,0.0003436966
68325340,68324850,-0.0038909535,-0.00025247358,0.00023167732
68327823,68327351,-0.003452845,-0.0002805719,0.00011918444
68330318,68329847,-0.0025955313,-0.0004740844,6.089837e-05
68332881,68332411,-0.001957071,-0.0005581495,-2.646707e-05
68335325,68334854,-0.0018740821,-0.00036993987,0.000123335
68337811,68337347,-0.0020653629,5.191375e-07,0.0005681418
68340354,68339887,-0.0021776555,0.00032064173,0.00091624435
68342815,68342347,-0.0022516146,0.00040432398,0.0011750119
68345326,68344850,-0.0024491884,0.00046792414,0.0013745294
68347815,68347350,-0.0026337313,0.00053969043,0.0013187865
68350322,68349851,-0.002854923,0.00048668036,0.00089557417
68352866,68352396,-0.0031132656,0.00036516544,0.00017801498
68355341,68354873,-0.003232973,0.00023689441,-0.00062670873
68357814,68357349,-0.0033795605,0.00027188435,-0.001205697
68360335,68359847,-0.0033590463,0.0004789468,-0.0013900117
68362825,68362356,-0.0027587996,0.0005036179,-0.0013069384
68365326,68364851,-0.0019096966,0.00010566268,-0.0010528534
68367813,68367347,-0.0010675212,-0.00053528143,-0.00084029255
68370337,68369873,-0.0005363566,-0.00096473494,-0.0007179252
68372837,68372375,-0.00062004843,-0.0009300189,-0.00048206482
68375331,68374856,-0.0008265008,-0.0006589256,-0.00019932925
68377815,68377350,-0.00086524885,-0.00031904207,7.4945754e-05
68380326,68379847,-0.0007212044,8.984667e-05,0.00039632633
68382856,68382391,-0.00015784145,0.00034552527,0.00037654632
68385320,68384850,0.0005507236,0.00031452294,-0.00012781359
68387814,68387347,0.0008504474,3.1024447e-05,-0.00044728338
68390315,68389847,0.00079382904,-0.0003586124,-0.00034575624
68395327,68394853,0.0009251658,-0.0008819327,8.00281e-05
68397818,68397350,0.00093562226,-0.0009121998,6.4178814e-05
68400332,68399847,0.00077492173,-0.00071661215,-0.00012581653
68402825,68402347,0.00052157143,-0.0004493408,-0.00036747858
68405323,68404850,0.00027855363,-0.0003169688,-0.00045283113
68407815,68407347,0.00011214876,-0.00020364825,-0.00033447103
68410322,68409856,0.00012744415,-0.00013187717,-0.0003431286
68412821,68412353,0.00045455407,-0.00016678797,-0.0004394087
68415326,68414850,0.0011213195,-0.00016321703,-0.00031052766
68417826,68417360,0.0018474705,-0.00023783918,-5.4752738e-05
68420346,68419863,0.0021111409,-0.00024816307,2.9324634e-05
68422833,68422355,0.0019715389,-2.7497614e-05,4.0134505e-06
68425323,68424852,0.0019708655,0.00022700714,6.356373e-05
68427817,68427349,0.0023920343,0.00045492832,6.198098e-05
68430319,68429847,0.0029941017,0.0005098383,8.118434e-06
68432828,68432359,0.0035043354,0.00029037351,3.2638778e-05
68435324,68434850,0.0041159224,2.8688308e-05,-2.3884451e-05
68437828,68437349,0.004460258,-0.00016077617,-8.263986e-05
68440358,68439847,0.0041052,-0.0003770102,0.00022164718
68442815,68442347,0.0035798524,-0.0004819408,0.00074328796
68445358,68444897,0.0032914425,-0.00041955366,0.0008876065
68447825,68447357,0.0031780966,-0.00044494282,0.00063259044
68450312,68449847,0.0032837084,-0.0003968128,0.00042142393
68452855,68452393,0.0038095724,-6.105353e-05,0.00032757624
68455329,68454853,0.004433152,0.00016920464,0.00021356768
68457832,68457366,0.004446567,-1.5017467e-05,6.618748e-05
68460335,68459856,0.0039536897,-0.0002803523,-0.00025697576
68462848,68462383,0.0035371815,-0.00023667332,-0.00077994517
68465317,68464850,0.0032332344,8.819882e-05,-0.0010309938
68467850,68467388,0.0032338738,0.00045401262,-0.00088037504
68470327,68469847,0.0036513135,0.00069256645,-0.00054158055
68472821,68472356,0.0037353984,0.00081809465,-0.00010785567
68475322,68474850,0.003487569,0.00072833215,0.00012459846
68477814,68477349,0.0035746603,0.00028498546,2.2206445e-05
68480312,68479847,0.003690419,-0.00034379182,-0.00020353311
68482815,68482347,0.0036601836,-0.00063877547,-0.00040906155
68485318,68484850,0.0038830093,-0.00036915203,-0.00060024933
68487817,68487349,0.0045938967,-7.8288385e-06,-0.0008397355
68490339,68489865,0.005694235,0.00011408744,-0.0010424844
68492840,68492371,0.0064452123,0.0001305823,-0.00089431903
68495343,68494863,0.006411423,0.00011972108,-0.0003809405
68497854,68497392,0.006033485,0.00013460682,6.6977285e-05
68500312,68499847,0.005802111,0.00031466657,0.00010397767
68502869,68502401,0.0056133736,0.0005908172,-3.573781e-05
68505318,68504850,0.0053728,0.00070160406,7.910608e-05
68507863,68507394,0.0052186605,0.0006300081,0.00029153368
