timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
68218835,-2.8681471,-2.8681471,-2.9448104,0.04614165,0.04853035,1,1
68318898,-2.9079046,-2.9079046,-2.9855072,0.04744599,0.049902216,1,1
69218849,-2.8374565,-2.8374565,-2.9132156,0.051939238,0.054631695,1,1
70218832,-2.8956285,-2.8956285,-2.9731038,0.038477365,0.04047698,1,1
71218830,-2.822913,-2.822913,-2.8983996,0.037789743,0.039757412,1,1
72218830,-2.855078,-2.855078,-2.931363,0.015922787,0.016753247,1,1
73218830,-2.9123163,-2.9123163,-2.9902258,0.015135904,0.015927056,1,1
74218858,-2.869076,-2.869076,-2.9457834,0.008151136,0.008577879,1,1
75218830,-2.9416633,-2.9416633,-3.0203702,0.0038345233,0.004035764,1,1
76218830,-2.8919864,-2.8919864,-2.9693456,0.020238727,0.021302423,1,1
78218833,-2.902306,-2.902306,-2.9798946,0.019755093,0.02079746,1,1
79218830,-2.8351748,-2.8351748,-2.9110494,0.020732928,0.02182919,1,1
80218876,-2.7930872,-2.7930872,-2.8677702,0.02032798,0.021404712,1,1
81218830,-2.6108494,-2.6108494,-2.6806896,0.015790684,0.016628837,1,1
83218830,-2.829482,-2.829482,-2.9053133,0.01057572,0.011139243,1,1
84218830,-2.8990116,-2.8990116,-2.976647,0.007186176,0.0075698365,1,1
85218830,-2.7891273,-2.7891273,-2.8638628,0.014831008,0.015624135,1,1
86218830,-2.8200955,-2.8200955,-2.8957326,0.010619004,0.011187936,1,1
87218921,-2.2138963,-2.2138963,-2.2733815,1.9628116,2.0681944,1,1
88218832,5.5012436,5.5012436,5.648943,8.068518,8.502903,1,1
89218833,9.300915,9.300915,9.550798,13.06423,13.768756,1,1
90218830,10.664634,10.664634,10.953441,15.355614,16.18862,1,1
91218832,13.006706,13.006706,13.3632765,17.541756,18.500626,1,1
92218833,16.372074,16.372074,16.822613,19.982504,21.079956,1,1
93218833,17.627493,17.627493,18.113018,21.524208,22.70975,1,1
94218903,18.302948,18.302948,18.808912,21.58079,22.773825,1,1
95218845,16.28551,16.28551,16.742115,20.655146,21.807947,1,1
96218830,15.440591,15.440591,15.880071,20.10465,21.236622,1,1
97218883,16.536612,16.536612,17.01174,20.282053,21.43057,1,1
98218830,15.066384,15.066384,15.503363,19.757597,20.884235,1,1
99218833,15.547514,15.547514,16.00421,19.256668,20.362976,1,1
100218838,14.451599,14.451599,14.881749,18.08472,19.132925,1,1
101218830,13.921282,13.921282,14.340953,17.318726,18.331184,1,1
102218899,13.64954,13.64954,14.066408,16.920574,17.918598,1,1
103218916,13.585618,13.585618,14.004892,16.873062,17.875538,1,1
104218830,13.923835,13.923835,14.36007,17.358461,18.398037,1,1
105218830,12.614625,12.614625,13.015474,17.827686,18.906889,1,1
108218886,14.557559,14.557559,15.031621,24.329346,25.826561,1,1
109218830,15.400635,15.400635,15.906958,24.992296,26.538671,1,1
110218838,nan,nan,nan,nan,nan,0,-1
111218830,nan,nan,nan,nan,nan,0,-1
112218884,nan,nan,nan,nan,nan,0,-1
113218897,nan,nan,nan,nan,nan,0,-1
114218830,nan,nan,nan,nan,nan,0,-1
115218870,nan,nan,nan,nan,nan,0,-1
116218845,nan,nan,nan,nan,nan,0,-1
117218869,nan,nan,nan,nan,nan,0,-1
119218830,nan,nan,nan,nan,nan,0,-1
120218844,nan,nan,nan,nan,nan,0,-1
121218832,nan,nan,nan,nan,nan,0,-1
122218889,nan,nan,nan,nan,nan,0,-1
123218832,nan,nan,nan,nan,nan,0,-1
124218830,nan,nan,nan,nan,nan,0,-1
125218830,nan,nan,nan,nan,nan,0,-1
126218830,nan,nan,nan,nan,nan,0,-1
127218875,nan,nan,nan,nan,nan,0,-1
129218890,nan,nan,nan,nan,nan,0,-1
130218857,nan,nan,nan,nan,nan,0,-1
131218830,nan,nan,nan,nan,nan,0,-1
132218874,nan,nan,nan,nan,nan,0,-1
133218830,nan,nan,nan,nan,nan,0,-1
134218830,nan,nan,nan,nan,nan,0,-1
135218843,nan,nan,nan,nan,nan,0,-1
136218879,nan,nan,nan,nan,nan,0,-1
137218903,nan,nan,nan,nan,nan,0,-1
138218830,nan,nan,nan,nan,nan,0,-1
139218830,nan,nan,nan,nan,nan,0,-1
140218890,nan,nan,nan,nan,nan,0,-1
141218833,nan,nan,nan,nan,nan,0,-1
142218862,nan,nan,nan,nan,nan,0,-1
143218830,nan,nan,nan,nan,nan,0,-1
144218833,nan,nan,nan,nan,nan,0,-1
146218830,nan,nan,nan,nan,nan,0,-1
147218864,nan,nan,nan,nan,nan,0,-1
148218832,nan,nan,nan,nan,nan,0,-1
149218830,nan,nan,nan,nan,nan,0,-1
150218880,nan,nan,nan,nan,nan,0,-1
151218833,nan,nan,nan,nan,nan,0,-1
152218850,nan,nan,nan,nan,nan,0,-1
153218834,nan,nan,nan,nan,nan,0,-1
154218866,nan,nan,nan,nan,nan,0,-1
