timestamp,error_count,device_id,x,y,z,integral_dt,x_integral,y_integral,z_integral,temperature,scaling,x_raw,y_raw,z_raw
50802245,0,2228514,-0.008096928,-0.027866995,-0.0021881084,4244,-6.797857e-05,-0.00021173267,-1.6255664e-05,40.0,0.0012217306,1033,2145,-529
50905209,0,2228514,0.023902884,0.029265665,0.008989978,3579,5.9841466e-05,1.39402855e-05,-3.0673434e-06,40.0,0.0012217306,1006,2101,-519
51004590,0,2228514,0.0042032036,-0.005875253,-0.009481554,4233,8.1530714e-05,-1.070165e-05,-3.6654972e-05,40.0,0.0012217306,992,2117,-519
51108980,0,2228514,-0.0014400267,-0.028635358,-0.011845739,4290,-2.3314673e-05,-0.00016626655,-5.0385002e-05,40.0,0.0012217306,1005,2135,-529
51209796,0,2228514,0.0019532272,-0.0029171396,0.0013629347,4291,-1.8697312e-05,-7.323059e-05,-1.2470786e-05,40.0,0.0012217306,1014,2122,-526
51312755,0,2228514,0.002133859,0.017677808,0.012488508,4239,2.8920225e-05,0.000114807284,3.3216867e-05,40.0,0.0012217306,1010,2081,-513
51409294,0,2228514,-0.015438203,-0.018670198,-0.00077891996,4303,-2.5997722e-05,-1.4676536e-05,4.7487814e-05,40.0,0.0012217306,1027,2132,-503
51512239,0,2228514,0.0044679483,-0.0017805462,-0.0015034211,4289,1.7436152e-05,-0.00010876827,-1.6102604e-05,40.0,0.0012217306,1006,2125,-521
51615915,0,2228514,0.003829028,-0.005506394,-0.0026008408,4291,1.3257182e-06,9.498704e-05,-2.5884596e-05,40.0,0.0012217306,1016,2102,-520
51716015,0,2228514,0.008099868,0.0027451636,-0.0034053642,4248,8.5443295e-05,-2.7620112e-05,1.0051967e-05,40.0,0.0012217306,988,2079,-519
51819722,0,2228514,-0.021122217,-0.031286187,-0.0023453296,4286,9.021645e-08,2.8168226e-05,7.1368363e-06,40.0,0.0012217306,1021,2105,-525
51918360,0,2228514,-0.007597624,-0.009678648,0.002305228,4258,-3.789319e-05,-7.3593845e-05,-5.401774e-06,40.0,0.0012217306,1024,2138,-522
52021326,0,2228514,-0.016623724,-0.040847536,-0.007927009,3582,-3.5899535e-05,-8.437439e-05,-4.066042e-05,40.0,0.0012217306,1007,2093,-514
52122164,0,2228514,0.0062011634,0.0005079283,0.0012340613,4319,-9.645709e-05,-0.00016838728,-3.1382613e-05,40.0,0.0012217306,1039,2145,-530
52225168,0,2228514,-0.0059020612,-0.021346856,0.003100564,3647,-4.416156e-05,3.2449614e-05,-9.795192e-06,40.0,0.0012217306,1015,2083,-523
52324516,0,2228514,-0.0154748205,-0.050570406,-0.006363806,4326,-0.00014567382,-0.00027241115,-4.9955826e-05,40.0,0.0012217306,1035,2143,-528
52427440,0,2228514,-0.011297712,-0.0039733136,0.00046606595,3575,-0.00010097343,-0.00016442729,-6.829401e-06,40.0,0.0012217306,1035,2148,-523
52526837,0,2228514,-0.012632111,-0.052682914,-0.010738226,4272,-0.0001231121,-0.00016361284,-2.4749146e-05,40.0,0.0012217306,1028,2129,-520
52631215,0,2228514,-0.0027161983,-0.021738678,-0.0048317425,4279,-0.00010900855,-0.00014826437,-4.052491e-05,40.0,0.0012217306,1035,2132,-532
52734936,0,2228514,0.004296216,0.0046404856,-0.0017068562,4337,4.9196824e-05,1.0807779e-05,-3.086291e-05,40.0,0.0012217306,993,2069,-525
52837852,0,2228514,0.023390252,0.030879412,0.004330984,4293,1.7071785e-05,3.7389895e-05,-5.2987783e-05,40.0,0.0012217306,1010,2087,-533
52937234,0,2228514,-0.0054445947,-0.020439446,-0.00070614857,4289,-6.1525505e-05,-3.949467e-05,3.527802e-05,40.0,0.0012217306,1031,2103,-511
53040215,0,2228514,-0.010755102,-0.028115045,0.0027420332,4296,-4.8633265e-05,-0.0002448202,-4.6437896e-07,40.0,0.0012217306,1012,2154,-516
53140350,0,2228514,-0.0059653656,-0.0024944204,-0.004174248,3630,-4.4701646e-05,-5.9179623e-05,-2.0491123e-05,40.0,0.0012217306,1019,2118,-523
53241160,0,2228514,0.02638515,0.019805804,0.0023112625,4338,1.3155124e-05,-3.423332e-05,-3.4267217e-05,40.0,0.0012217306,1019,2125,-520
