timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
65828849,49.08965306032926,2.110389801023446,86.675095,132.85628,-0.0,0.6358945,0.932706,86.58468,2,0,1,0
66028861,49.08965303549143,2.1103897949598,86.68192,132.86398,-0.0,0.63591045,0.93238723,86.59618,2,0,1,0
66228849,49.08965302508534,2.11038980529295,86.69281,132.87553,-0.0,0.6359224,0.93207115,86.610085,2,0,1,0
66428849,49.08965301171175,2.110389826214623,86.704025,132.88702,-0.0,0.63594794,0.93279165,86.61561,2,0,1,0
66628858,49.08965301559536,2.1103898652225364,86.711685,132.89478,-0.0,0.6359684,0.9324803,86.6176,2,0,1,0
67428849,49.08965302157965,2.1103898235167313,86.71355,132.89433,-0.0,0.636016,0.9322888,86.61309,2,0,1,0
67828849,49.08965297465708,2.1103897965707485,86.71767,132.89708,-0.0,0.6359958,0.9326957,86.62036,2,0,1,0
68028849,49.08965294652798,2.1103898034006088,86.72675,132.90553,-0.0,0.63598686,0.93237793,86.64172,2,0,1,0
68228852,49.08965291724587,2.1103898267909917,86.73843,132.91652,-0.0,0.6359786,0.9320592,86.64733,2,0,1,0
68428849,49.089652884276894,2.1103898503712792,86.74481,132.9219,-0.0,0.6359711,0.93278044,86.64664,2,0,1,0
68628849,49.08965285758867,2.110389857371392,86.749306,132.92549,-0.0,0.6359645,0.93246996,86.64843,2,0,1,0
68828849,49.089652828983056,2.1103898896019104,86.75361,132.92856,-0.0,0.6359995,0.93215084,86.65716,2,0,1,0
69028849,49.089652809405905,2.1103899090895246,86.76135,132.93506,-0.0,0.63603145,0.9328706,86.66554,2,0,1,0
69228849,49.08965280070441,2.11038990709232,86.76925,132.94151,-0.0,0.63606036,0.9325499,86.67434,2,0,1,0
69428849,49.08965281514312,2.110389925519074,86.77793,132.94872,-0.0,0.6360454,0.932229,86.68488,2,0,1,0
69628889,49.08965283849239,2.1103899530151407,86.78809,132.95714,-0.0,0.63607264,0.93295187,86.6908,2,0,1,0
69828849,49.08965284067195,2.110390008138297,86.79259,132.95987,-0.0,0.6360801,0.9326356,86.689095,2,0,1,0
70028884,49.08965281510784,2.1103900948502425,86.79702,132.96254,-0.0,0.63604623,0.9323223,86.69742,2,0,1,0
70228851,49.089652790362784,2.1103901628341943,86.80604,132.96992,-0.0,0.63601613,0.9320114,86.71069,2,0,1,0
70428849,49.08965276469197,2.110390208285623,86.81621,132.97855,-0.0,0.6359896,0.93273896,86.717255,2,0,1,0
70628849,49.089652738754744,2.1103902394291287,86.82274,132.98335,-0.0,0.6359661,0.93243194,86.71812,2,0,1,0
70828849,49.08965270402383,2.1103902802378607,86.827644,132.98648,-0.0,0.6359456,0.9321268,86.72458,2,0,1,0
71028854,49.08965266368218,2.110390278869329,86.82992,132.98712,-0.0,0.6359277,0.9318235,86.72639,2,0,1,0
71228849,49.08965262235259,2.110390217571225,86.83143,132.98697,-0.0,0.6359121,0.9325504,86.72627,2,0,1,0
71428849,49.089652607023496,2.110390160116909,86.83362,132.98717,-0.0,0.6358986,0.932247,86.73107,2,0,1,0
71628851,49.089652621197374,2.110390114292245,86.831825,132.98354,-0.0,0.6359107,0.931952,86.723564,2,0,1,0
71828893,49.089652639499825,2.1103900949748873,86.82696,132.9766,-0.0,0.6358819,0.9326762,86.7219,2,0,1,0
72028849,49.08965265747958,2.1103900775827147,86.82667,132.97476,-0.0,0.6358397,0.9323639,86.72498,2,0,1,0
72228849,49.08965267099681,2.1103900278160057,86.82723,132.974,-0.0,0.6357862,0.9320504,86.731445,2,0,1,0
72428851,49.089652684200466,2.1103899794768153,86.828125,132.97372,-0.0,0.63578147,0.93277603,86.72871,2,0,1,0
72628850,49.0896526876761,2.110389933992674,86.830734,132.97542,-0.0,0.63576245,0.93246996,86.73744,2,0,1,0
72828849,49.089652696978476,2.1103899047809236,86.83599,132.97992,-0.0,0.6356895,0.93215925,86.74541,2,0,1,0
73028849,49.089652705817734,2.1103898943430033,86.842155,132.98535,-0.0,0.6356683,0.9318572,86.75128,2,0,1,0
73228876,49.08965272692526,2.1103898775532657,86.844475,132.98674,-0.0,0.6356349,0.9325898,86.74625,2,0,1,0
73428849,49.08965273558816,2.1103898655896036,86.84573,132.98676,-0.0,0.6355669,0.93227404,86.75248,2,0,1,0
73628849,49.08965272119556,2.1103898632060596,86.84977,132.99022,-0.0,0.63553244,0.9329993,86.75486,2,0,1,0
73828849,49.08965272180126,2.1103898352384878,86.85648,132.99626,-0.0,0.63548785,0.9326842,86.765594,2,0,1,0
74028859,49.089652736443625,2.1103897706465418,86.85971,132.99886,-0.0,0.63545173,0.93237156,86.76347,2,0,1,0
74228849,49.08965272991358,2.1103897053539606,86.86049,132.99895,-0.0,0.6354053,0.9320614,86.76407,2,0,1,0
74428856,49.08965272023431,2.1103896583244497,86.86081,132.99884,-0.0,0.6353674,0.93278736,86.7613,2,0,1,0
74628879,49.089652718338876,2.1103896283662134,86.865265,133.00302,-0.0,0.63531923,0.93248135,86.77301,2,0,1,0
74828849,49.08965271021092,2.110389579129941,86.87046,133.00815,-0.0,0.63523823,0.9321741,86.777176,2,0,1,0
75028852,49.089652687470036,2.1103895174127247,86.87348,133.01123,-0.0,0.6351687,0.93289125,86.77433,2,0,1,0
75228854,49.08965266509739,2.1103894622503057,86.87731,133.01523,-0.0,0.63510925,0.9325672,86.78432,2,0,1,0
75428852,49.08965264402038,2.1103893952617474,86.88479,133.02313,-0.0,0.6350586,0.9322495,86.789825,2,0,1,0
75628852,49.089652630844,2.110389326524796,86.89141,133.03029,-0.0,0.6350156,0.93296903,86.796326,2,0,1,0
75828866,49.0896526054422,2.110389227161701,86.89653,133.03601,-0.0,0.6349793,0.93264896,86.79732,2,0,1,0
76028888,49.08965257686169,2.110389110432654,86.901726,133.04167,-0.0,0.63494873,0.932335,86.80392,2,0,1,0
76228849,49.0896525617861,2.110389007821615,86.902,133.04248,-0.0,0.63496405,0.93202657,86.799774,2,0,1,0
76428849,49.089652541453106,2.110388950570302,86.90452,133.04561,-0.0,0.6349386,0.93274665,86.80596,2,0,1,0
76628850,49.08965250677253,2.110388913873961,86.907585,133.04958,-0.0,0.63495797,0.9324251,86.80784,2,0,1,0
76828865,49.08965249130836,2.1103888608724555,86.913445,133.05646,-0.0,0.6349356,0.93210334,86.81524,2,0,1,0
77028849,49.08965248388635,2.11038881078491,86.91431,133.05817,-0.0,0.6349163,0.93281925,86.809715,2,0,1,0
77228853,49.08965247817003,2.110388782575061,86.91442,133.05887,-0.0,0.6348996,0.9324991,86.81158,2,0,1,0
77428851,49.089652465909786,2.1103887591127015,86.914055,133.0594,-0.0,0.6349262,0.93218493,86.81158,2,0,1,0
77628881,49.08965245273074,2.110388718854085,86.912544,133.05852,-0.0,0.63490987,0.932907,86.80871,2,0,1,0
77828850,49.08965244505625,2.1103886681051667,86.911995,133.05843,-0.0,0.6349365,0.93259746,86.810905,2,0,1,0
78028849,49.08965243862966,2.110388586625315,86.91054,133.05742,-0.0,0.634961,0.93227965,86.80835,2,0,1,0
78228882,49.089652452728984,2.1103884768046144,86.90594,133.05322,-0.0,0.63498336,0.93299675,86.801674,2,0,1,0
78428859,49.08965246263545,2.1103883968635797,86.90345,133.05124,-0.0,0.6350035,0.93267745,86.801254,2,0,1,0
78628849,49.08965246927692,2.110388346356927,86.89851,133.047,-0.0,0.6350216,0.9323575,86.79621,2,0,1,0
78828849,49.089652471131046,2.1103882938596135,86.890205,133.0392,-0.0,0.6349964,0.93203735,86.78506,2,0,1,0
79028849,49.08965247390769,2.1103882191506385,86.88162,133.03157,-0.0,0.6349732,0.93275666,86.78125,2,0,1,0
79228849,49.08965247643348,2.1103881970110057,86.87786,133.0291,-0.0,0.6349934,0.9324446,86.78154,2,0,1,0
79428849,49.089652482117074,2.110388197403893,86.877846,133.03061,-0.0,0.63501155,0.93212783,86.78517,2,0,1,0
79628874,49.08965247702472,2.110388189696611,86.87508,133.02936,-0.0,0.63498646,0.93283916,86.77826,2,0,1,0
79828852,49.08965251499012,2.110388200972645,86.8698,133.02567,-0.0,0.63496363,0.9325143,86.77375,2,0,1,0
80028855,49.08965257101515,2.1103882129296725,86.863106,133.0209,-0.0,0.63494295,0.932189,86.763435,2,0,1,0
80228902,49.089652620049186,2.1103882128051903,86.85691,133.01677,-0.0,0.6349244,0.93290704,86.759895,2,0,1,0
80428859,49.0896526799342,2.1103881888516156,86.85047,133.01306,-0.0,0.6349078,0.932587,86.7534,2,0,1,0
80628857,49.089652738594886,2.1103881395497712,86.85093,133.01624,-0.0,0.63489294,0.9322698,86.76412,2,0,1,0
80828849,49.08965279696614,2.11038812041571,86.85463,133.02281,-0.0,0.6349208,0.93299717,86.76544,2,0,1,0
81028851,49.089652846818176,2.1103881387638364,86.85615,133.02745,-0.0,0.6349052,0.932667,86.764694,2,0,1,0
81228861,49.08965288286186,2.1103881467199104,86.856476,133.03046,-0.0,0.6349324,0.9323435,86.762115,2,0,1,0
81428849,49.089652939797624,2.110388153726461,86.85951,133.03647,-0.0,0.63495725,0.93306357,86.767456,2,0,1,0
81628851,49.08965301695916,2.110388180862301,86.86283,133.04294,-0.0,0.6349798,0.9327422,86.771,2,0,1,0
81828849,49.08965307731109,2.1103881977763472,86.86142,133.04477,-0.0,0.63500005,0.9324273,86.760605,2,0,1,0
82028850,49.08965314069162,2.110388180325179,86.86,133.04648,-0.0,0.6350183,0.9321116,86.76406,2,0,1,0
82228849,49.08965318190643,2.110388136982264,86.858055,133.04796,-0.0,0.6350518,0.93283725,86.75891,2,0,1,0
82428853,49.089653200595876,2.1103880646568296,86.85632,133.04938,-0.0,0.6350809,0.93251926,86.760254,2,0,1,0
82628851,49.0896532424443,2.110388009861026,86.85464,133.05084,-0.0,0.6351233,0.93219376,86.75695,2,0,1,0
82828851,49.08965330014442,2.110387987511775,86.852135,133.05147,-0.0,0.6351185,0.9329087,86.75374,2,0,1,0
