timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
456254625,0.10852688,0.004102992,0.16521022
456259617,0.10872934,0.0038608972,0.16521022
456454735,0.14664023,0.0058672815,0.17823793
456654828,0.15633851,0.0062922994,0.16943613
456854700,0.16336054,0.004874745,0.1576789
457054695,0.15897691,0.005603836,0.162335
