timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
65628862,0.051790833,0.034465402,0.03379497,0.027746916,0.0070943832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.26171112,0.0,0.0,nan,0.0,0.0,-0.01658088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65828849,0.03635353,-0.008402782,-0.001910571,0.02403766,0.0028777122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.19790459,0.0,0.0,nan,0.0,0.0,0.02510345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66028861,0.02162163,0.0072231046,0.048324786,0.02216947,0.004210472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.22939491,0.0,0.0,nan,0.0,0.0,-0.0006714463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66228849,0.0025513172,-0.008726644,0.056469016,0.021911263,0.0038990974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.2372036,0.0,0.0,nan,0.0,0.0,-0.037404478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66428849,0.036471047,-0.0047484264,0.026976012,0.023843288,0.006137371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.20685196,0.0,0.0,nan,0.0,0.0,-0.012359738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66628858,-0.019194337,-0.012677806,-0.04448576,0.02113229,0.00072193146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.2477665,0.0,0.0,nan,0.0,0.0,0.020573199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67428849,0.04820471,0.044017345,-0.053378433,0.027975261,0.007303238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.20962715,0.0,0.0,nan,0.0,0.0,-0.016773224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67828849,0.012926413,-0.0038875742,-0.04569096,0.031542182,0.0044493675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.22615242,0.0,0.0,nan,0.0,0.0,-0.007053435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68028849,0.017552175,0.009179863,0.084611565,0.029336989,-0.0011548996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.39484978,0.0,0.0,nan,0.0,0.0,-0.041585386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68228852,0.0135743115,-0.0109045,0.02404711,0.026492298,-0.00046348572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.0119018555,0.0,0.0,nan,0.0,0.0,0.042180598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68428849,0.0226889,0.013839345,-0.025104892,0.024009943,-0.0043005943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.1568451,0.0,0.0,nan,0.0,0.0,-0.0039961934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68628849,-0.008609271,0.02889195,-0.038137764,0.03137225,-0.0035133362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.048114777,0.0,0.0,nan,0.0,0.0,0.0048083067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68828849,0.010589011,-0.021373907,0.038238883,0.030489266,-0.012318134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.25107574,0.0,0.0,nan,0.0,0.0,-0.00031381845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69028849,-0.009978568,0.03442748,0.015323542,0.027130723,-0.0064206123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.22081184,0.0,0.0,nan,0.0,0.0,0.008888245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69228849,-0.013785945,0.032311577,-0.013387477,0.026484609,-0.0079574585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.3619213,0.0,0.0,nan,0.0,0.0,-0.011885583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69428849,-0.03812989,-0.011850456,0.006036828,0.015566707,-0.009308815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.41290283,0.0,0.0,nan,0.0,0.0,-0.041313827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69628889,-0.009377244,0.004893793,-0.0097113475,0.020051003,-0.0050678253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.090904236,0.0,0.0,nan,0.0,0.0,0.02589345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69828849,0.026558874,-0.022891829,-0.045558337,0.021060348,-0.01028204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.15694427,0.0,0.0,nan,0.0,0.0,-0.048074007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70028884,0.03937211,-0.025159633,-0.011810783,0.017476082,-0.011165619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.29576874,0.0,0.0,nan,0.0,0.0,0.02869302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70228851,-0.0050971224,0.031283475,0.013495773,0.011631548,-0.01089859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.11123657,0.0,0.0,nan,0.0,0.0,0.012224674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70428849,0.019724231,0.024398703,-0.029254705,0.011400223,-0.010238171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.085762024,0.0,0.0,nan,0.0,0.0,-0.0067366958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70628849,0.007817883,0.02361964,-0.056728937,0.007916868,-0.008936882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.103609085,0.0,0.0,nan,0.0,0.0,-0.04406309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70828849,0.021568127,-0.006652504,-0.0015328303,0.017096698,-0.007648945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.18278122,0.0,0.0,nan,0.0,0.0,0.0063673854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71028854,0.011690224,0.06958196,-0.053783778,0.012082577,-0.0026474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.26658058,0.0,0.0,nan,0.0,0.0,-0.038102806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71228849,0.0064434535,0.07572365,-0.06392347,0.008315682,0.0064525604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.28795242,0.0,0.0,nan,0.0,0.0,-0.015010297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71428849,-0.044935785,0.0023672055,-0.030526286,0.0049743652,0.005569935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.30454445,0.0,0.0,nan,0.0,0.0,0.030707061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71628851,-0.035583265,0.015725622,-0.09971149,-0.002764523,0.0061917305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.14090729,0.0,0.0,nan,0.0,0.0,-0.060030222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71828893,-0.013934625,-0.00390014,-0.08176362,0.00062149763,0.0048675537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.417881,0.0,0.0,nan,0.0,0.0,-0.026091754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72028849,-0.016880082,0.024762182,-0.008269188,0.0013312697,0.006134033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.07777214,0.0,0.0,nan,0.0,0.0,-0.01493907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72228849,-0.0044376235,0.047125876,-0.006768658,0.0023676753,0.011187553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.3230152,0.0,0.0,nan,0.0,0.0,-0.023300469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
