timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
65701546,65681332,3997706,22.523132,39.09,101054.75,1.2006975
65751978,65734125,3997706,22.356665,39.09,101056.75,1.2007214
65812154,65789463,3997706,22.398943,39.09,101056.25,1.2007154
65862449,65842250,3997706,22.462358,39.1,101055.49,1.2007064
65912709,65895040,3997706,22.398943,39.1,101056.25,1.2007154
65972988,65950303,3997706,22.54427,39.1,101054.5,1.2006947
66023658,66003265,3997706,22.420082,39.11,101056.0,1.2007124
66073998,66056253,3997706,22.483496,39.11,101055.25,1.2007035
66134211,66111535,3997706,22.356665,39.12,101056.75,1.2007214
66184741,66164313,3997706,22.377804,39.12,101056.5,1.2007184
66234857,66217105,3997706,22.459717,39.12,101055.5,1.2007065
66295113,66272427,3997706,22.523132,39.129997,101054.75,1.2006975
66345406,66325200,3997706,22.377804,39.129997,101056.5,1.2007184
66396085,66378216,3997706,22.501993,39.129997,101055.0,1.2007005
66456494,66433751,3997706,22.501993,39.14,101055.0,1.2007005
66506945,66486577,3997706,22.377804,39.14,101056.5,1.2007184
66557105,66539386,3997706,22.501993,39.14,101055.0,1.2007005
66617451,66594684,3997706,22.377804,39.149998,101056.49,1.2007183
66667650,66647481,3997706,22.232477,39.149998,101058.25,1.2007391
66717893,66700230,3997706,22.356665,39.149998,101056.75,1.2007214
67432581,67412330,3997706,22.483496,39.2,101055.25,1.2007035
67804983,67787246,3997706,22.459717,39.23,101055.5,1.2007065
67865324,67842623,3997706,22.671103,39.239998,101053.0,1.2006768
67916114,67895694,3997706,22.356665,39.239998,101056.75,1.2007214
67966468,67948708,3997706,22.459717,39.25,101055.5,1.2007065
68026955,68004072,3997706,22.459717,39.25,101055.5,1.2007065
68077076,68056875,3997706,22.274754,39.26,101057.74,1.2007332
68127302,68109634,3997706,22.335527,39.26,101056.99,1.2007242
68187662,68164956,3997706,22.483496,39.27,101055.25,1.2007035
68237940,68217729,3997706,22.441221,39.26,101055.75,1.2007095
68288582,68270578,3997706,22.628824,39.26,101053.5,1.2006828
68348945,68326182,3997706,22.420082,39.27,101056.0,1.2007124
68399445,68379048,3997706,22.501993,39.28,101054.99,1.2007005
68449840,68431917,3997706,22.335527,39.28,101056.99,1.2007242
68512143,68487208,3997706,22.314388,39.28,101057.25,1.2007273
68571026,68546037,3997706,22.438578,39.29,101055.79,1.2007099
68630901,68607811,3997706,22.377804,39.3,101056.49,1.2007183
68681225,68660915,3997706,22.54427,39.3,101054.5,1.2006947
68731563,68713861,3997706,22.649963,39.3,101053.25,1.2006798
68792030,68769193,3997706,22.398943,39.309998,101056.25,1.2007154
68842150,68821970,3997706,22.523132,39.309998,101054.75,1.2006975
68892498,68874775,3997706,22.586548,39.309998,101054.0,1.2006887
68952753,68930076,3997706,22.420082,39.32,101055.99,1.2007123
69002988,68982825,3997706,22.54427,39.32,101054.5,1.2006947
69053769,69035920,3997706,22.671103,39.32,101053.0,1.2006768
69113988,69091302,3997706,22.441221,39.329998,101055.75,1.2007095
69164476,69144087,3997706,22.441221,39.34,101055.75,1.2007095
69214706,69196926,3997706,22.565409,39.34,101054.25,1.2006917
69274977,69252208,3997706,22.731876,39.34,101052.25,1.2006679
69325219,69305033,3997706,22.628824,39.34,101053.5,1.2006828
69375479,69357808,3997706,22.607685,39.35,101053.75,1.2006857
69436196,69413404,3997706,22.420082,39.36,101055.99,1.2007123
69486501,69466291,3997706,22.398943,39.36,101056.25,1.2007154
69536992,69519127,3997706,22.420082,39.36,101056.0,1.2007124
69597164,69574444,3997706,22.459717,39.37,101055.5,1.2007065
69647523,69627247,3997706,22.483496,39.37,101055.25,1.2007035
69697759,69680091,3997706,22.501993,39.37,101055.0,1.2007005
69758095,69735370,3997706,22.523132,39.379997,101054.75,1.2006975
69808770,69788463,3997706,22.586548,39.379997,101054.0,1.2006887
69859057,69841366,3997706,22.628824,39.379997,101053.5,1.2006828
69919577,69896694,3997706,22.607685,39.39,101053.75,1.2006857
69969713,69949516,3997706,22.54427,39.399998,101054.5,1.2006947
70020590,70002251,3997706,22.774153,39.39,101051.75,1.2006619
70080657,70057525,3997706,22.459717,39.399998,101055.5,1.2007065
70130869,70110324,3997706,22.628824,39.41,101053.5,1.2006828
70181218,70163437,3997706,22.858706,39.41,101050.75,1.2006501
70241598,70218871,3997706,22.441221,39.42,101055.75,1.2007095
70292037,70271662,3997706,22.586548,39.42,101054.0,1.2006887
70342169,70324449,3997706,22.607685,39.42,101053.75,1.2006857
70402520,70379737,3997706,22.459717,39.43,101055.5,1.2007065
70452766,70432575,3997706,22.459717,39.43,101055.5,1.2007065
70502988,70485327,3997706,22.565409,39.43,101054.25,1.2006917
70563744,70540928,3997706,22.420082,39.44,101056.0,1.2007124
70614000,70593793,3997706,22.483496,39.45,101055.25,1.2007035
70664467,70646572,3997706,22.54427,39.45,101054.5,1.2006947
70724598,70701882,3997706,22.356665,39.45,101056.75,1.2007214
70774940,70754670,3997706,22.586548,39.45,101054.0,1.2006887
70825175,70807422,3997706,22.607685,39.46,101053.75,1.2006857
70885474,70862761,3997706,22.628824,39.46,101053.5,1.2006828
70936176,70915766,3997706,22.441221,39.469997,101055.75,1.2007095
70986487,70968790,3997706,22.710737,39.469997,101052.5,1.2006708
71046993,71024077,3997706,22.649963,39.469997,101053.25,1.2006798
71097111,71076867,3997706,22.523132,39.48,101054.75,1.2006975
71147323,71129653,3997706,22.523132,39.48,101054.75,1.2006975
71207726,71184997,3997706,22.523132,39.489998,101054.75,1.2006975
71257973,71237799,3997706,22.671103,39.489998,101053.0,1.2006768
71308635,71290759,3997706,22.649963,39.489998,101053.25,1.2006798
71368998,71346259,3997706,22.356665,39.5,101056.75,1.2007214
71419479,71399086,3997706,22.483496,39.5,101055.25,1.2007035
71469828,71451906,3997706,22.501993,39.51,101055.0,1.2007005
71530897,71507167,3997706,22.377804,39.51,101056.5,1.2007184
71590900,71565969,3997706,22.821714,39.51,101051.19,1.2006552
71651034,71627815,3997706,22.774153,39.52,101051.75,1.2006619
71701142,71680759,3997706,22.54427,39.53,101054.51,1.2006947
71751512,71733773,3997706,22.607685,39.53,101053.75,1.2006857
71811780,71789089,3997706,22.398943,39.53,101056.25,1.2007154
71862108,71841910,3997706,22.441221,39.54,101055.75,1.2007095
71912359,71894693,3997706,22.459717,39.54,101055.5,1.2007065
71972750,71949959,3997706,22.586548,39.54,101054.0,1.2006887
72022904,72002728,3997706,22.523132,39.55,101054.75,1.2006975
72073697,72055609,3997706,22.689598,39.55,101052.75,1.2006738
72133947,72111213,3997706,22.441221,39.559998,101055.75,1.2007095
72184189,72164000,3997706,22.586548,39.559998,101054.0,1.2006887
72234626,72216788,3997706,22.483496,39.559998,101055.25,1.2007035
72294872,72272074,3997706,22.710737,39.57,101052.5,1.2006708
72345011,72324830,3997706,22.483496,39.57,101055.25,1.2007035
72395309,72377612,3997706,22.586548,39.57,101054.0,1.2006887
72455641,72432932,3997706,22.877203,39.579998,101050.5,1.2006471
72506323,72486120,3997706,22.441221,39.579998,101055.75,1.2007095
72556609,72538921,3997706,22.753014,39.59,101052.0,1.2006649
72617030,72594221,3997706,22.628824,39.59,101053.5,1.2006828
72667210,72647038,3997706,22.689598,39.59,101052.75,1.2006738
72717484,72699799,3997706,22.586548,39.6,101054.0,1.2006887
72777825,72755078,3997706,22.774153,39.6,101051.75,1.2006619
72828126,72807879,3997706,22.54427,39.61,101054.5,1.2006947
72878788,72860998,3997706,22.649963,39.61,101053.25,1.2006798
72939156,72916453,3997706,22.607685,39.61,101053.75,1.2006857
72989629,72969269,3997706,22.671103,39.62,101053.0,1.2006768
73039760,73022054,3997706,22.565409,39.62,101054.25,1.2006917
73101966,73077327,3997706,22.54427,39.629997,101054.5,1.2006947
73160500,73136093,3997706,22.570694,39.629997,101054.2,1.2006911
73220784,73197935,3997706,22.731876,39.64,101052.25,1.2006679
73271367,73251168,3997706,22.753014,39.64,101051.99,1.2006649
73321634,73303963,3997706,22.483496,39.649998,101055.25,1.2007035
73382044,73359260,3997706,22.689598,39.649998,101052.75,1.2006738
73432333,73412070,3997706,22.501993,39.649998,101055.0,1.2007005
73482551,73464877,3997706,22.483496,39.66,101055.25,1.2007035
73542897,73520183,3997706,22.731876,39.66,101052.25,1.2006679
73593181,73572968,3997706,22.586548,39.66,101054.0,1.2006887
73643798,73626139,3997706,22.649963,39.67,101053.25,1.2006798
73704155,73681439,3997706,22.377804,39.67,101056.49,1.2007183
73754638,73734273,3997706,22.607685,39.68,101053.75,1.2006857
73804867,73787100,3997706,22.501993,39.68,101055.0,1.2007005
73865062,73842369,3997706,22.671103,39.69,101053.0,1.2006768
73915404,73895149,3997706,22.377804,39.68,101056.5,1.2007184
73965729,73947948,3997706,22.462358,39.7,101055.49,1.2007064
74026494,74003750,3997706,22.689598,39.7,101052.75,1.2006738
74076951,74056559,3997706,22.607685,39.7,101053.75,1.2006857
74127060,74109369,3997706,22.54427,39.7,101054.5,1.2006947
74187359,74164663,3997706,22.523132,39.71,101054.75,1.2006975
74237667,74217458,3997706,22.523132,39.71,101054.75,1.2006975
74287978,74270255,3997706,22.689598,39.71,101052.75,1.2006738
74348736,74325629,3997706,22.689598,39.719997,101052.75,1.2006738
74398981,74378757,3997706,22.628824,39.73,101053.5,1.2006828
74449224,74431539,3997706,22.628824,39.73,101053.5,1.2006828
74509695,74486886,3997706,22.586548,39.73,101054.0,1.2006887
74560552,74539684,3997706,22.79529,39.73,101051.49,1.2006589
74610761,74592443,3997706,22.607685,39.739998,101053.75,1.2006857
74670880,74647720,3997706,22.607685,39.739998,101053.75,1.2006857
74731226,74706602,3997706,22.81907,39.75,101051.2,1.2006555
74791532,74768811,3997706,22.523132,39.76,101054.75,1.2006975
74841953,74821614,3997706,22.420082,39.75,101056.0,1.2007124
74892130,74874432,3997706,22.54427,39.76,101054.5,1.2006947
74952454,74929763,3997706,22.586548,39.77,101054.0,1.2006887
75002694,74982523,3997706,22.689598,39.77,101052.75,1.2006738
75052959,75035273,3997706,22.628824,39.77,101053.5,1.2006828
75113787,75090688,3997706,22.671103,39.77,101053.0,1.2006768
75164002,75143822,3997706,22.54427,39.78,101054.5,1.2006947
75214242,75196579,3997706,22.586548,39.78,101054.0,1.2006887
75274639,75251888,3997706,22.295893,39.79,101057.5,1.2007303
75324928,75304667,3997706,22.607685,39.79,101053.75,1.2006857
75375137,75357459,3997706,22.607685,39.79,101053.75,1.2006857
75435503,75412756,3997706,22.523132,39.8,101054.75,1.2006975
75486240,75465811,3997706,22.671103,39.8,101053.0,1.2006768
75536547,75518854,3997706,22.586548,39.809998,101054.0,1.2006887
