timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
65628903,-2.9348466,-3.014188,29.935,1.0
65682462,-2.9559927,-3.0361624,29.984999,1.0
65693161,-2.9572337,-3.0373619,29.97,1.0
65703901,-2.956219,-3.0362134,29.945,1.0
65714599,-2.9533987,-3.0335667,29.994999,1.0
65725309,-2.9494958,-3.0292833,29.939999,1.0
65736022,-2.9450977,-3.024666,29.92,1.0
65746723,-2.9403467,-3.0199862,29.96,1.0
65757628,-2.9353628,-3.014862,29.965,1.0
65768325,-2.9305713,-3.0099409,29.965,1.0
65779017,-2.926513,-3.0058224,29.974998,1.0
65789727,-2.9230351,-3.0022006,29.965,1.0
65800493,-2.9196742,-2.9986746,29.949999,1.0
65811259,-2.9167264,-2.995704,29.96,1.0
65822078,-2.9145162,-2.9934092,29.955,1.0
65832770,-2.912722,-2.9914675,29.935,1.0
65843505,-2.9111938,-2.9900463,29.965,1.0
65854199,-2.910136,-2.9887621,29.925,1.0
65864915,-2.9091432,-2.9879265,29.96,1.0
65875631,-2.907353,-2.9859893,29.939999,1.0
65886323,-2.904567,-2.9832263,29.96,1.0
65897090,-2.901323,-2.9796736,29.914999,1.0
65907804,-2.8982682,-2.9767814,29.965,1.0
65918529,-2.8958945,-2.974136,29.925,1.0
65929230,-2.894449,-2.9727004,29.935,1.0
65940229,-2.89365,-2.9719293,29.945,1.0
65951063,-2.8929303,-2.97119,29.945,1.0
65961954,-2.8918526,-2.969985,29.925,1.0
65972666,-2.8902023,-2.9685364,29.97,1.0
65983367,-2.8880544,-2.966428,29.99,1.0
65994062,-2.885701,-2.9639618,29.98,1.0
66004768,-2.8839278,-2.9619205,29.935,1.0
66015464,-2.8835406,-2.9615474,29.939999,1.0
66026259,-2.8843386,-2.9623697,29.945,1.0
66037009,-2.885576,-2.9635913,29.935,1.0
66047772,-2.88689,-2.9649165,29.929998,1.0
66058499,-2.888,-2.9661546,29.949999,1.0
66069251,-2.8884773,-2.9666204,29.945,1.0
66080172,-2.8882341,-2.9664304,29.955,1.0
66090867,-2.8875575,-2.9657106,29.949999,1.0
66101655,-2.887122,-2.9654102,29.98,1.0
66112361,-2.8876588,-2.9658148,29.949999,1.0
66123068,-2.8891447,-2.967537,29.99,1.0
66133770,-2.8910887,-2.9693644,29.96,1.0
66144465,-2.8934321,-2.9715998,29.925,1.0
66155161,-2.896338,-2.9745107,29.91,1.0
66165889,-2.8994718,-2.9778767,29.939999,1.0
66176690,-2.9023511,-2.9809813,29.97,1.0
66187394,-2.9047258,-2.98335,29.955,1.0
66198094,-2.9064202,-2.9851148,29.96,1.0
66208824,-2.9074318,-2.9858832,29.904999,1.0
66219571,-2.9077792,-2.9864368,29.945,1.0
66230294,-2.9073877,-2.9861577,29.97,1.0
66241011,-2.9064424,-2.984931,29.914999,1.0
66251709,-2.9053216,-2.9839275,29.945,1.0
66262410,-2.9041011,-2.9828708,29.984999,1.0
66273110,-2.9026225,-2.9813027,29.974998,1.0
66283894,-2.9006615,-2.9790187,29.92,1.0
66294595,-2.897841,-2.9764407,29.984999,1.0
66305300,-2.8942273,-2.9725685,29.949999,1.0
66316032,-2.8905578,-2.9687018,29.929998,1.0
66326723,-2.887401,-2.9655817,29.955,1.0
66337417,-2.8849585,-2.9630978,29.96,1.0
66348130,-2.8833613,-2.9615536,29.984999,1.0
66358829,-2.8826842,-2.9605653,29.925,1.0
66369640,-2.883176,-2.9613144,29.974998,1.0
66380336,-2.8852122,-2.9633327,29.96,1.0
66391032,-2.8886957,-2.9668126,29.939999,1.0
66401742,-2.8931746,-2.9715571,29.965,1.0
66412434,-2.8982708,-2.9766934,29.945,1.0
66423131,-2.9038963,-2.98252,29.955,1.0
66433896,-2.910186,-2.9889803,29.955,1.0
66444635,-2.916672,-2.9957159,29.97,1.0
66455353,-2.9228837,-3.00217,29.984999,1.0
66466051,-2.9285808,-3.0078235,29.945,1.0
66476900,-2.9326174,-3.0119445,29.939999,1.0
66487614,-2.9340637,-3.0133553,29.925,1.0
66498307,-2.933048,-3.0125608,29.974998,1.0
66509006,-2.9299588,-3.0093403,29.97,1.0
66519708,-2.9255908,-3.0048292,29.965,1.0
66530450,-2.9210296,-3.0000455,29.945,1.0
66541157,-2.916899,-2.9958773,29.96,1.0
66552001,-2.913447,-2.9924307,29.98,1.0
66562756,-2.9110622,-2.9897323,29.925,1.0
66573491,-2.9103394,-2.9890637,29.939999,1.0
66584211,-2.9109128,-2.9896772,29.945,1.0
66594904,-2.9113648,-2.9901416,29.945,1.0
66605620,-2.911052,-2.989919,29.965,1.0
66616393,-2.9103818,-2.9891098,29.945,1.0
66627096,-2.9102268,-2.9887536,29.904999,1.0
66648505,-2.9145591,-2.9936225,29.99,1.0
66659473,-2.9182785,-2.9972944,29.96,1.0
66670262,-2.9216726,-3.0008285,29.974998,1.0
66681013,-2.9241648,-3.0033882,29.974998,1.0
66691729,-2.9254534,-3.0046623,29.965,1.0
66702611,-2.9258902,-3.0049124,29.925,1.0
66713310,-2.9259884,-3.0051124,29.945,1.0
66724020,-2.9253879,-3.0044935,29.939999,1.0
66734713,-2.9238336,-3.0029712,29.955,1.0
67421464,-2.9438763,-3.0238202,30.005,1.0
67796712,-2.9240875,-3.0033298,29.965,1.0
67807524,-2.9188313,-2.9979017,29.965,1.0
67818267,-2.9139063,-2.992547,29.904999,1.0
67829061,-2.9093893,-2.9881053,29.945,1.0
67839773,-2.9052155,-2.983843,29.949999,1.0
67850468,-2.9013262,-2.979824,29.945,1.0
67861165,-2.8976653,-2.9762359,29.98,1.0
67871982,-2.8940735,-2.9724855,29.96,1.0
67882681,-2.8904254,-2.968665,29.945,1.0
67893385,-2.886737,-2.9650726,29.984999,1.0
67904465,-2.8833532,-2.9615235,29.97,1.0
67915163,-2.8806415,-2.9587321,29.98,1.0
67925865,-2.8786404,-2.9565063,29.945,1.0
67936559,-2.877248,-2.9553685,30.005,1.0
67947267,-2.8764765,-2.954381,29.965,1.0
67958064,-2.8766494,-2.9545584,29.965,1.0
67968759,-2.878316,-2.9562886,29.965,1.0
67979465,-2.881405,-2.9593396,29.939999,1.0
67990159,-2.8850412,-2.963245,29.974998,1.0
68000858,-2.8886478,-2.9668026,29.945,1.0
68011559,-2.892119,-2.9703677,29.945,1.0
68022290,-2.8954873,-2.9739008,29.96,1.0
68033148,-2.8991115,-2.9775496,29.945,1.0
68043905,-2.9033666,-2.981895,29.939999,1.0
68054612,-2.908078,-2.9868815,29.97,1.0
68065326,-2.9130986,-2.9918406,29.929998,1.0
68076078,-2.9186332,-2.9976895,29.97,1.0
68086946,-2.9243846,-3.0035965,29.97,1.0
68097657,-2.929465,-3.0088892,29.984999,1.0
68108361,-2.9328947,-3.012238,29.949999,1.0
68119061,-2.9344118,-3.0141442,30.019999,1.0
68129763,-2.935072,-3.0146596,29.984999,1.0
68140460,-2.9360337,-3.0154233,29.939999,1.0
68151157,-2.937196,-3.0167663,29.97,1.0
68161915,-2.937715,-3.017175,29.945,1.0
68172647,-2.9370735,-3.016541,29.949999,1.0
68183366,-2.9352357,-3.0147529,29.97,1.0
68194061,-2.9325376,-3.0119333,29.955,1.0
68204767,-2.9295893,-3.0088553,29.945,1.0
68215490,-2.9266498,-3.0061092,30.0,1.0
68226240,-2.9238083,-3.003042,29.97,1.0
68236983,-2.9220045,-3.0011322,29.96,1.0
68247687,-2.9224732,-3.0015645,29.949999,1.0
68258392,-2.9252136,-3.004354,29.945,1.0
68269159,-2.9290576,-3.0082276,29.929998,1.0
68279888,-2.9327528,-3.0121224,29.949999,1.0
68290583,-2.9358912,-3.0154533,29.965,1.0
68301287,-2.9391577,-3.0188084,29.965,1.0
68312093,-2.94307,-3.0227022,29.939999,1.0
68322786,-2.9474595,-3.027435,29.984999,1.0
68333513,-2.9518585,-3.0317035,29.935,1.0
68344210,-2.955694,-3.0359933,30.005,1.0
68354908,-2.958763,-3.0388324,29.949999,1.0
68365638,-2.9608262,-3.0409763,29.955,1.0
68376395,-2.9614093,-3.0413246,29.904999,1.0
68387096,-2.96041,-3.0405488,29.955,1.0
68397804,-2.9584446,-3.0386457,29.974998,1.0
68408509,-2.9566624,-3.03679,29.97,1.0
68419535,-2.9556165,-3.035591,29.945,1.0
68430230,-2.9551678,-3.03513,29.945,1.0
68440998,-2.955515,-3.0353863,29.925,1.0
68451718,-2.9565685,-3.0365884,29.955,1.0
68462592,-2.9573743,-3.0375667,29.984999,1.0
68473294,-2.9569936,-3.037075,29.965,1.0
68484012,-2.9550679,-3.0349722,29.939999,1.0
68494703,-2.9518,-3.031641,29.945,1.0
68505401,-2.9477108,-3.027541,29.965,1.0
68516173,-2.9433334,-3.0230415,29.965,1.0
68526973,-2.9389784,-3.0185685,29.965,1.0
68537682,-2.9346673,-3.0139418,29.925,1.0
68548380,-2.9303055,-3.009611,29.955,1.0
68559077,-2.9260402,-3.0050814,29.925,1.0
68569796,-2.9221995,-3.0013566,29.965,1.0
68580554,-2.918914,-2.9980319,29.974998,1.0
68591251,-2.9161575,-2.9952006,29.974998,1.0
68601959,-2.913893,-2.992825,29.965,1.0
68612649,-2.9120767,-2.9910831,29.99,1.0
68623353,-2.910661,-2.9895303,29.97,1.0
68634047,-2.9095964,-2.9883773,29.96,1.0
68644768,-2.908835,-2.987718,29.984999,1.0
68655465,-2.9083292,-2.9870262,29.949999,1.0
68666156,-2.9081452,-2.986788,29.939999,1.0
68676959,-2.9086523,-2.9874077,29.96,1.0
68687659,-2.910331,-2.989309,29.99,1.0
68698360,-2.9131813,-2.992113,29.965,1.0
68709061,-2.9163995,-2.99532,29.945,1.0
68719831,-2.9189222,-2.9980097,29.965,1.0
68730581,-2.920288,-2.999209,29.92,1.0
68741286,-2.9206169,-2.999769,29.965,1.0
68752078,-2.9202502,-2.9993923,29.965,1.0
68762787,-2.9195812,-2.9986064,29.945,1.0
68773501,-2.9187012,-2.9978013,29.965,1.0
68784201,-2.9177964,-2.996872,29.965,1.0
68794898,-2.9174478,-2.9964447,29.96,1.0
68805610,-2.9180832,-2.9970727,29.955,1.0
68816311,-2.9199986,-2.9990647,29.96,1.0
68827009,-2.9228327,-3.0020003,29.965,1.0
68837733,-2.9256248,-3.004769,29.945,1.0
68848510,-2.9277518,-3.007025,29.955,1.0
68859406,-2.9285407,-3.0079596,29.98,1.0
68870112,-2.9277358,-3.0071328,29.98,1.0
68881044,-2.9258432,-3.0050404,29.949999,1.0
68891763,-2.923612,-3.0027354,29.945,1.0
68902603,-2.9221733,-3.0013316,29.96,1.0
68913308,-2.9220426,-3.001148,29.949999,1.0
68924037,-2.9224818,-3.001599,29.949999,1.0
68934737,-2.922688,-3.0017862,29.945,1.0
68945442,-2.9226003,-3.0017455,29.955,1.0
68956158,-2.9230547,-3.002232,29.965,1.0
68966956,-2.9251103,-3.0044425,29.984999,1.0
68977655,-2.9285438,-3.00787,29.965,1.0
68988358,-2.9320498,-3.0113716,29.945,1.0
68999050,-2.9346309,-3.0142212,29.984999,1.0
69009744,-2.936098,-3.0156507,29.965,1.0
69020468,-2.9368846,-3.0163846,29.949999,1.0
69031179,-2.9373431,-3.017079,29.994999,1.0
69041933,-2.9373183,-3.0168052,29.945,1.0
69052690,-2.9365983,-3.0161874,29.965,1.0
69063394,-2.9354768,-3.0150852,29.974998,1.0
69074164,-2.9344082,-3.0139875,29.974998,1.0
69084867,-2.933414,-3.0129912,29.98,1.0
69095581,-2.9323988,-3.0118988,29.97,1.0
69106292,-2.9313993,-3.0109715,29.99,1.0
69117010,-2.930443,-3.0096753,29.935,1.0
69127706,-2.929441,-3.0086956,29.945,1.0
69138495,-2.9281077,-3.0074255,29.965,1.0
69149194,-2.926235,-3.0055516,29.974998,1.0
69159902,-2.9238973,-3.0029771,29.939999,1.0
69170617,-2.9212756,-3.0004828,29.98,1.0
69181326,-2.9186263,-2.9976134,29.949999,1.0
69192082,-2.9163673,-2.995367,29.965,1.0
69202844,-2.914697,-2.9936514,29.965,1.0
69213558,-2.9135299,-2.9924529,29.965,1.0
69224422,-2.9130054,-2.991813,29.939999,1.0
69235159,-2.913427,-2.9922955,29.949999,1.0
69245890,-2.9147794,-2.9937835,29.97,1.0
69256653,-2.9164734,-2.9954736,29.96,1.0
69267355,-2.9182653,-2.9974375,29.984999,1.0
69278075,-2.9208415,-2.9999154,29.945,1.0
69288771,-2.924263,-3.0035784,29.974998,1.0
69299496,-2.9277864,-3.007247,29.984999,1.0
69310195,-2.9313848,-3.0108438,29.965,1.0
69320893,-2.935254,-3.014569,29.914999,1.0
69331697,-2.9388816,-3.0183756,29.935,1.0
69342412,-2.9417765,-3.0214982,29.965,1.0
69353170,-2.9438043,-3.0235062,29.949999,1.0
69363901,-2.9448884,-3.0248442,29.994999,1.0
69374602,-2.9448912,-3.0246685,29.96,1.0
69385298,-2.9437406,-3.0233123,29.925,1.0
69396075,-2.941633,-3.021347,29.965,1.0
69406939,-2.9390736,-3.018619,29.945,1.0
69417741,-2.9366815,-3.0163858,29.99,1.0
69428504,-2.9343839,-3.0138023,29.945,1.0
69439516,-2.9316854,-3.011171,29.98,1.0
69450257,-2.928546,-3.0079217,29.974998,1.0
69461013,-2.9252734,-3.004412,29.945,1.0
69471709,-2.9222193,-3.001374,29.965,1.0
69482576,-2.9195368,-2.9985943,29.96,1.0
69493341,-2.917224,-2.9962397,29.965,1.0
69504083,-2.915266,-2.99413,29.945,1.0
69514781,-2.9136422,-2.9926593,29.984999,1.0
69525487,-2.9122152,-2.9911938,29.984999,1.0
69536246,-2.9108746,-2.9896975,29.96,1.0
69546990,-2.9097514,-2.9884698,29.945,1.0
69557738,-2.9090497,-2.9879463,29.984999,1.0
69568503,-2.9088025,-2.9874954,29.945,1.0
69579405,-2.9086921,-2.9875298,29.974998,1.0
69590105,-2.9084702,-2.987277,29.97,1.0
69600857,-2.9082797,-2.9870641,29.965,1.0
69611558,-2.9083388,-2.986977,29.935,1.0
69622251,-2.9088066,-2.9876053,29.965,1.0
69632984,-2.9096823,-2.9883816,29.939999,1.0
69643678,-2.9109523,-2.9898093,29.965,1.0
69654449,-2.912594,-2.991598,29.984999,1.0
69665149,-2.9143589,-2.993312,29.965,1.0
69675845,-2.9159436,-2.9949396,29.965,1.0
69686553,-2.9171216,-2.9963224,30.0,1.0
69697245,-2.9177332,-2.9968057,29.97,1.0
69707945,-2.9177825,-2.9970295,30.005,1.0
69718641,-2.9175088,-2.9966989,29.994999,1.0
69729464,-2.917106,-2.9961367,29.965,1.0
69740160,-2.9166164,-2.995634,29.965,1.0
69750855,-2.916076,-2.9951286,29.974998,1.0
69761568,-2.9154036,-2.9944415,29.974998,1.0
69772285,-2.9144323,-2.9934192,29.97,1.0
69782998,-2.9132621,-2.9922173,29.97,1.0
69793749,-2.912195,-2.9909241,29.929998,1.0
69804482,-2.91135,-2.9900067,29.92,1.0
69815197,-2.910592,-2.9894369,29.96,1.0
69825895,-2.909705,-2.9884021,29.935,1.0
69836705,-2.9085274,-2.98739,29.974998,1.0
69847403,-2.9069436,-2.9857385,29.97,1.0
69858107,-2.9053178,-2.984076,29.97,1.0
69868811,-2.9043698,-2.9831023,29.97,1.0
69879508,-2.9040809,-2.982978,30.005,1.0
69890217,-2.9038665,-2.9825363,29.96,1.0
69900922,-2.903496,-2.982205,29.97,1.0
69911689,-2.9031277,-2.9819252,29.99,1.0
69922394,-2.902882,-2.981448,29.945,1.0
69933089,-2.9026282,-2.9811873,29.945,1.0
69943797,-2.9023764,-2.981125,29.984999,1.0
69954497,-2.9022436,-2.9808903,29.965,1.0
69965206,-2.9020967,-2.9808133,29.98,1.0
69975910,-2.9018328,-2.9806294,30.0,1.0
69986668,-2.901488,-2.9802754,30.0,1.0
69997363,-2.9010918,-2.9797702,29.98,1.0
70008088,-2.9006689,-2.9793112,29.974998,1.0
70018788,-2.9002383,-2.9788935,29.98,1.0
70029510,-2.8998158,-2.9784753,29.974998,1.0
70040212,-2.8995223,-2.9780512,29.949999,1.0
70050910,-2.899557,-2.9782343,29.98,1.0
70061677,-2.8999527,-2.978616,29.974998,1.0
70072399,-2.9006116,-2.9791455,29.945,1.0
70083096,-2.901452,-2.9800515,29.965,1.0
70093803,-2.9024048,-2.9810548,29.97,1.0
70104506,-2.9034135,-2.9821398,29.98,1.0
70115210,-2.9044337,-2.9830403,29.949999,1.0
70126013,-2.9054306,-2.9840887,29.955,1.0
70136707,-2.9062681,-2.984929,29.945,1.0
70147406,-2.9068484,-2.9856727,29.974998,1.0
70158131,-2.907323,-2.985988,29.939999,1.0
70168901,-2.9078116,-2.9865146,29.945,1.0
70179628,-2.9082956,-2.986913,29.925,1.0
70190344,-2.9087608,-2.9875298,29.945,1.0
70201042,-2.9091973,-2.9881017,29.97,1.0
70211744,-2.9094884,-2.9884007,29.97,1.0
70222581,-2.9095492,-2.9883397,29.945,1.0
70233291,-2.9095416,-2.9884307,29.965,1.0
70244068,-2.9094818,-2.988098,29.925,1.0
70254769,-2.9091642,-2.987821,29.935,1.0
70265463,-2.9086595,-2.987352,29.945,1.0
70276164,-2.9081361,-2.986913,29.965,1.0
70286937,-2.9075058,-2.9862409,29.96,1.0
70297666,-2.906813,-2.985506,29.949999,1.0
70308365,-2.906423,-2.985081,29.945,1.0
70319056,-2.9064975,-2.9852312,29.96,1.0
70329770,-2.9067054,-2.9853709,29.945,1.0
70340464,-2.9066799,-2.985324,29.939999,1.0
70351167,-2.906366,-2.9850998,29.96,1.0
70361897,-2.9058418,-2.9845126,29.949999,1.0
70372639,-2.905172,-2.9838,29.945,1.0
70383346,-2.9045217,-2.9831567,29.949999,1.0
70394051,-2.9041266,-2.9829476,29.99,1.0
70404745,-2.9039392,-2.9826553,29.974998,1.0
70415456,-2.9038072,-2.9824705,29.965,1.0
70426162,-2.9037216,-2.982407,29.97,1.0
70436958,-2.9035642,-2.9824178,30.005,1.0
70447655,-2.9032466,-2.9819684,29.98,1.0
70458348,-2.9028168,-2.9814286,29.96,1.0
70469044,-2.9023137,-2.9809365,29.965,1.0
70479738,-2.9017708,-2.980428,29.974998,1.0
70490516,-2.901324,-2.979822,29.945,1.0
70501388,-2.901185,-2.9797957,29.965,1.0
70512129,-2.901286,-2.9799974,29.984999,1.0
70522826,-2.9013476,-2.9799135,29.955,1.0
70533555,-2.9012675,-2.9797084,29.929998,1.0
70544425,-2.9010808,-2.9796886,29.965,1.0
70555147,-2.9009287,-2.9794834,29.955,1.0
70565852,-2.901028,-2.979535,29.949999,1.0
70576542,-2.9013164,-2.9801013,30.005,1.0
70587272,-2.9015207,-2.9801886,29.98,1.0
70598005,-2.9015443,-2.9800897,29.955,1.0
70608786,-2.9015386,-2.980035,29.945,1.0
70619493,-2.9016209,-2.9802532,29.97,1.0
70630191,-2.9016578,-2.9802914,29.97,1.0
70640892,-2.9016585,-2.9802675,29.965,1.0
70651671,-2.901852,-2.9804661,29.965,1.0
70662372,-2.902297,-2.9808607,29.949999,1.0
70673086,-2.9029202,-2.981574,29.965,1.0
70683785,-2.9036608,-2.9821873,29.935,1.0
70694580,-2.904358,-2.9830506,29.965,1.0
70705291,-2.90478,-2.983386,29.945,1.0
70716015,-2.9048688,-2.983354,29.92,1.0
70726709,-2.9046993,-2.983516,29.994999,1.0
70737410,-2.904447,-2.9831586,29.974998,1.0
70748120,-2.9043593,-2.9828963,29.939999,1.0
70758830,-2.90451,-2.9831736,29.965,1.0
70769598,-2.904729,-2.9834971,29.984999,1.0
70780294,-2.9047732,-2.9835095,29.97,1.0
70791015,-2.9045727,-2.9835496,30.019999,1.0
70801726,-2.904191,-2.9828868,29.965,1.0
70812473,-2.903792,-2.982477,29.965,1.0
70823167,-2.9035022,-2.982327,29.994999,1.0
70833908,-2.9031954,-2.9818432,29.96,1.0
70844606,-2.902775,-2.981436,29.965,1.0
70855303,-2.9022808,-2.9809284,29.965,1.0
70866058,-2.9017456,-2.980428,29.974998,1.0
70876747,-2.9011955,-2.979789,29.96,1.0
70887577,-2.9006512,-2.9792585,29.965,1.0
70898295,-2.9001281,-2.978623,29.945,1.0
70909003,-2.8996382,-2.978316,29.984999,1.0
70919699,-2.8992987,-2.9778202,29.955,1.0
70930416,-2.8993053,-2.977827,29.955,1.0
70941115,-2.8995771,-2.9780488,29.949999,1.0
70951954,-2.899823,-2.978399,29.97,1.0
70962667,-2.9000413,-2.9785988,29.965,1.0
70973369,-2.9003422,-2.9788096,29.945,1.0
70984077,-2.9005864,-2.9791586,29.965,1.0
70994824,-2.9006698,-2.9794152,29.99,1.0
71005520,-2.9006271,-2.9791257,29.939999,1.0
71016292,-2.9004896,-2.979304,30.005,1.0
71027005,-2.9002833,-2.9790182,29.99,1.0
71037714,-2.9000309,-2.978538,29.945,1.0
71048410,-2.8997514,-2.9785345,30.005,1.0
71059202,-2.8994594,-2.9780626,29.97,1.0
71069898,-2.899057,-2.9776738,29.974998,1.0
71080599,-2.8983624,-2.9770832,30.0,1.0
71091298,-2.8975759,-2.9760544,29.955,1.0
71102007,-2.897404,-2.975905,29.965,1.0
71112705,-2.8982594,-2.977078,30.025,1.0
71123411,-2.8998744,-2.9785159,29.98,1.0
71134176,-2.9017994,-2.9805176,29.984999,1.0
71144888,-2.903681,-2.9824502,29.984999,1.0
71155594,-2.9053612,-2.9842253,29.994999,1.0
71166386,-2.9069436,-2.985752,29.974998,1.0
71177099,-2.9085116,-2.987338,29.97,1.0
71187807,-2.9099095,-2.9887738,29.97,1.0
71198538,-2.911024,-2.9899678,29.98,1.0
71209455,-2.911887,-2.990805,29.97,1.0
71220153,-2.9125302,-2.9915643,29.99,1.0
71230889,-2.9129848,-2.992056,29.994999,1.0
71241594,-2.9131713,-2.992124,29.97,1.0
71252296,-2.913037,-2.9920602,29.984999,1.0
71262999,-2.9127712,-2.9917884,29.98,1.0
71273747,-2.9124126,-2.9913955,29.974998,1.0
71284462,-2.9117746,-2.990691,29.965,1.0
71295172,-2.910943,-2.989787,29.955,1.0
71305868,-2.9102077,-2.989127,29.974998,1.0
71316566,-2.9096792,-2.9885595,29.97,1.0
71327268,-2.9093258,-2.9881227,29.955,1.0
71338012,-2.9091175,-2.987958,29.965,1.0
71348816,-2.9090266,-2.9878893,29.97,1.0
71359614,-2.909029,-2.9878917,29.97,1.0
71370323,-2.9091024,-2.988088,30.005,1.0
71381034,-2.909228,-2.987946,29.949999,1.0
71391756,-2.90928,-2.9881718,29.984999,1.0
71402459,-2.9089448,-2.987852,29.99,1.0
71413157,-2.9082139,-2.9868796,29.945,1.0
71423897,-2.9076412,-2.9864368,29.97,1.0
71434598,-2.9075372,-2.9863055,29.965,1.0
71445298,-2.9075758,-2.986271,29.949999,1.0
71456027,-2.907613,-2.98626,29.939999,1.0
71466721,-2.9077575,-2.9865563,29.97,1.0
71477613,-2.9077601,-2.986341,29.925,1.0
71488358,-2.9075444,-2.9864147,29.984999,1.0
71499068,-2.9072776,-2.9860423,29.965,1.0
71509772,-2.9068704,-2.9856238,29.965,1.0
71520510,-2.9063685,-2.9852068,29.984999,1.0
71531271,-2.906029,-2.984861,29.99,1.0
71542009,-2.9059346,-2.9847639,29.99,1.0
71552734,-2.906031,-2.984838,29.984999,1.0
71563430,-2.9061606,-2.9848974,29.97,1.0
71574225,-2.9062018,-2.985063,29.994999,1.0
71585136,-2.9062839,-2.98495,29.955,1.0
71595851,-2.9065042,-2.9854026,29.984999,1.0
71606552,-2.9067142,-2.9856184,29.984999,1.0
71617299,-2.9066894,-2.9855437,29.974998,1.0
71628098,-2.9063766,-2.9852717,29.984999,1.0
71638897,-2.905852,-2.9847083,29.98,1.0
71649622,-2.9051821,-2.9839463,29.965,1.0
71660319,-2.9045315,-2.9833682,29.984999,1.0
71671029,-2.9041357,-2.9829617,29.984999,1.0
71681742,-2.9040575,-2.9829304,29.994999,1.0
71692621,-2.904225,-2.9830043,29.974998,1.0
71703345,-2.9045756,-2.9832742,29.965,1.0
71714067,-2.9050555,-2.9838655,29.984999,1.0
71724780,-2.9055092,-2.9843316,29.984999,1.0
71735480,-2.905709,-2.9844384,29.965,1.0
71746181,-2.9055984,-2.9843247,29.965,1.0
71756950,-2.9053633,-2.984144,29.974998,1.0
71767655,-2.90526,-2.9841363,29.994999,1.0
71778349,-2.9053707,-2.9843729,30.019999,1.0
71789047,-2.9055316,-2.9842923,29.97,1.0
71799766,-2.9056165,-2.9844778,29.99,1.0
71810472,-2.9057505,-2.984357,29.945,1.0
71821176,-2.9060273,-2.9847643,29.97,1.0
71832069,-2.9064052,-2.9851525,29.97,1.0
71842768,-2.9067385,-2.9854949,29.97,1.0
71853525,-2.9068081,-2.9854183,29.939999,1.0
71864420,-2.9065633,-2.9853961,29.984999,1.0
71875147,-2.9060853,-2.9848065,29.965,1.0
