timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
86629024,86628489,2359306,2359306,-2.5598752e-05,7.198848e-06,9.554641e-06,0.00027843408,0.0016554049,-0.04924111,4998,4998,0
87129047,87128512,2359306,2359306,-9.1863085e-06,1.0153701e-06,1.6642452e-06,5.9260725e-05,0.0018312718,-0.04919058,4997,4997,0
87629050,87628536,2359306,2359306,-5.010491e-06,1.4101956e-05,-4.3455086e-07,0.0003238937,0.0015781107,-0.049145006,4992,4992,0
88129074,88128561,2359306,2359306,-3.9550858e-05,4.505393e-06,1.9711717e-05,9.762996e-05,0.0017077398,-0.049417756,5000,5000,0
88629108,88628587,2359306,2359306,7.511062e-05,2.9761052e-06,-6.9838543e-06,0.00025011736,0.001699125,-0.049241755,4996,4996,0
89129159,89128622,2359306,2359306,-2.3637955e-05,1.4583347e-06,2.1104293e-06,0.00018308051,0.0018714182,-0.04941092,5009,5009,0
89629178,89628661,2359306,2359306,-5.854627e-05,1.0339592e-05,1.0866496e-05,0.0002287341,0.0017839842,-0.04956887,5022,5022,0
90129191,90128667,2359306,2359306,-3.0076559e-05,4.890991e-06,5.285123e-06,0.0002867264,0.0017923575,-0.049107935,5000,5000,0
90629213,90628694,2359306,2359306,-5.370332e-06,1.8979447e-06,-7.7249274e-07,0.00016381571,0.0017821875,-0.049394973,5000,5000,0
91129441,91128723,2359306,2359306,-6.858599e-06,1.2025645e-05,-3.1530512e-06,0.0002852319,0.0016072064,-0.0494532,5000,5000,0
91629433,91628759,2359306,2359306,-1.6929298e-05,5.0492863e-06,-1.7195309e-06,0.00020872109,0.0014835122,-0.049365915,5007,5007,0
93129553,93128854,2359306,2359306,7.8845045e-07,1.3400818e-05,8.636029e-06,0.00027404423,0.0016880604,-0.049334347,4999,4999,0
93629562,93628874,2359306,2359306,-1.0377141e-05,1.3202429e-05,-1.5079427e-06,0.0002950448,0.0017825107,-0.04937227,5000,5000,0
94129566,94128916,2359306,2359306,1.8848867e-05,4.5288944e-06,-1.5435165e-06,0.00022134189,0.0017238089,-0.049346983,5011,5011,0
94629683,94628951,2359306,2359306,2.8127188e-06,3.7625337e-06,2.3809607e-06,0.00021470626,0.0015995776,-0.04935785,5014,5014,0
95129619,95128976,2359306,2359306,-1.170318e-05,-4.9935607e-06,4.0936857e-06,0.00022321215,0.0015489897,-0.04925409,5006,5006,0
95629625,95629006,2359306,2359306,5.4418168e-05,1.2923919e-06,-8.435264e-06,0.00036940753,0.0016012415,-0.04911282,4988,4988,0
96129748,96129040,2359306,2359306,5.593232e-05,1.5869802e-05,-1.5123874e-05,0.00023521656,0.0017301355,-0.049269833,5003,5003,0
96629665,96629072,2359306,2359306,-2.3909613e-05,-4.1818575e-06,2.4938674e-06,0.00023010382,0.0017006806,-0.049396686,5001,5001,0
97129752,97129124,2359306,2359306,-5.439077e-05,7.318528e-06,6.2575796e-06,0.00028900182,0.0016285891,-0.04938348,5014,5014,0
97629919,97629153,2359306,2359306,2.8933398e-05,1.2744741e-05,-7.740441e-06,0.00019226794,0.0015825083,-0.0493419,5008,5008,0
98129735,98129180,2359306,2359306,6.852034e-05,-4.147594e-06,-1.3040784e-05,0.00028809134,0.0016685696,-0.049231,4999,4999,0
98629811,98629222,2359306,2359306,2.5946845e-06,1.8597186e-05,-2.9734863e-07,0.00024150973,0.001698943,-0.04914958,4997,4997,0
99129830,99129253,2359306,2359306,-1.6795166e-05,8.866228e-06,1.0490291e-05,0.00014032221,0.0016162826,-0.04930618,4987,4987,0
100631309,100629380,2359306,2359306,4.6246758e-05,1.2921174e-05,-2.8097784e-07,0.00023302402,0.0014128943,-0.049478557,5012,5012,0
101130922,101129408,2359306,2359306,7.665772e-05,1.0846911e-06,-2.7441142e-06,0.000299903,0.0016962308,-0.049133476,5000,5000,0
101630740,101629448,2359306,2359306,6.248704e-05,2.6208556e-05,-2.2109705e-05,0.00039592566,0.0023167543,-0.048961733,5000,5000,0
102130994,102129489,2359306,2359306,-2.215751e-05,1.5711645e-05,6.6770826e-06,0.00027984468,0.0020262569,-0.048241153,4994,4994,0
102631181,102629543,2359306,2359306,1.812655e-05,1.1531069e-05,-1.5234671e-05,0.00025074653,0.0021979392,-0.049629398,5014,5014,0
103130913,103129571,2359306,2359306,-4.3157743e-05,1.0565946e-05,-3.2411005e-09,0.00011034302,0.00214069,-0.048541825,5000,5000,0
103631123,103629613,2359306,2359306,5.689606e-05,3.8457583e-06,4.5181594e-07,0.00029306978,0.0017268368,-0.049933854,4999,4999,0
104130877,104129656,2359306,2359306,-4.59185e-05,2.4454865e-05,1.3555272e-05,0.00026755675,0.0018773853,-0.048389815,5001,5001,0
104631075,104629700,2359306,2359306,6.210418e-06,1.4292892e-05,-1.7088898e-05,0.00021602234,0.0014225978,-0.049176835,5002,5002,0
105131048,105129742,2359306,2359306,0.0001389492,1.4066403e-05,-1.4862653e-05,0.00017040942,0.0017081326,-0.048880868,4996,4996,0
105630858,105629796,2359306,2359306,-6.5325185e-05,6.290294e-06,9.013305e-06,0.0002838901,0.0017968256,-0.049146116,4994,4994,0
106130880,106129832,2359306,2359306,-0.00010138433,-1.7863711e-06,1.6582626e-05,0.00017984577,0.0019350055,-0.049896423,4998,4998,0
106631062,106629876,2359306,2359306,-0.00011388775,-5.5719365e-06,5.8920964e-06,0.00011285366,0.0015402593,-0.04927457,5000,5000,0
107130927,107129921,2359306,2359306,2.288583e-05,7.706833e-06,-5.442333e-06,0.00022991044,0.0016755774,-0.049141288,4993,4993,0
107630839,107629968,2359306,2359306,3.4388402e-05,7.5278836e-06,-6.457544e-06,0.00010926824,0.00158095,-0.049176946,4999,4999,0
108130995,108130015,2359306,2359306,5.092696e-05,1.67758e-06,-1.1932756e-05,5.1350635e-05,0.0018067379,-0.049310654,4991,4991,0
108630994,108630062,2359306,2359306,9.334694e-06,4.083612e-06,-3.0455606e-06,0.00021814313,0.0017253828,-0.04915276,5001,5001,0
109130916,109130111,2359306,2359306,7.72823e-06,-7.594781e-07,4.1708913e-06,0.00021614366,0.0016275806,-0.049307656,4998,4998,0
109630865,109630157,2359306,2359306,9.681252e-06,-3.2712824e-06,-1.5645319e-05,0.00029304944,0.0018212455,-0.04933279,4992,4992,0
110130888,110130206,2359306,2359306,-2.9016428e-05,7.268983e-07,-5.1453158e-06,0.00021316145,0.0016150619,-0.048891906,4999,4999,0
110630961,110630255,2359306,2359306,1.6584807e-05,1.3042023e-05,-7.98297e-06,0.00022381762,0.0009868706,-0.04912789,4999,4999,0
111630911,111630355,2359306,2359306,-0.00015645211,-3.5555552e-06,1.5933105e-05,8.845713e-05,0.0018393757,-0.048822965,5000,5000,0
112130929,112130406,2359306,2359306,-7.7259116e-05,2.5613017e-06,3.3625078e-05,0.00017156311,0.0014130747,-0.049724847,5003,5003,0
112631014,112630457,2359306,2359306,-3.6593374e-05,-3.449422e-07,-3.2360464e-07,9.239092e-05,0.0014073246,-0.049549844,5002,5002,0
113131029,113130517,2359306,2359306,0.00015838878,-1.3023845e-06,-1.9758329e-05,0.00021229319,0.0018044963,-0.049506795,5011,5011,0
114131183,114130613,2359306,2359306,-5.0292034e-05,-3.5569756e-06,1.0731694e-05,0.00029201186,0.001488826,-0.049240455,5001,5001,0
114631193,114630666,2359306,2359306,-4.4407996e-05,5.8205046e-06,-5.072578e-06,0.00025319387,0.0015392047,-0.049177535,5002,5002,0
115131231,115130722,2359306,2359306,6.8795252e-06,9.995275e-06,7.6778537e-07,0.00029835026,0.0018085532,-0.049154405,5003,5003,0
115631352,115630774,2359306,2359306,-6.5461645e-06,9.566766e-06,-7.5599833e-06,0.00029944186,0.001759035,-0.049135525,5000,5000,0
116131441,116130858,2359306,2359306,-2.1126072e-05,1.4960971e-05,1.5975631e-05,0.0001297895,0.0017355253,-0.04946273,5029,5029,0
116631473,116630884,2359306,2359306,-5.2125408e-05,1.87283e-05,1.2746381e-05,0.00017111821,0.0015681351,-0.049217552,5000,5000,0
117131498,117130942,2359306,2359306,-2.5037638e-05,9.967594e-06,7.8465955e-06,5.6597877e-05,0.0016573176,-0.04910699,5006,5006,0
117631543,117630995,2359306,2359306,5.3968495e-05,1.0254291e-06,4.410048e-06,0.0002894953,0.0016563272,-0.049026154,5003,5003,0
120131952,120131282,2359306,2359306,-0.00011682466,-6.5137147e-06,2.1793236e-05,0.00035822485,0.0016125604,-0.048958465,4998,4998,0
120632044,120631341,2359306,2359306,6.2754094e-05,1.095995e-05,-8.540238e-06,0.00030846844,0.0016539341,-0.048948925,4994,4994,0
121132162,121131421,2359306,2359306,9.970159e-06,2.415796e-06,-1.2264447e-05,0.00019846008,0.0017596976,-0.049560715,5011,5011,0
121632087,121631460,2359306,2359306,-8.096203e-05,-1.1639688e-06,1.999729e-05,0.00018056842,0.0016542244,-0.049551193,5004,5004,0
122632144,122631580,2359306,2359306,1.6161328e-05,8.24524e-06,-2.8429663e-06,0.0002984317,0.001961502,-0.04934759,5000,5000,0
123132157,123131640,2359306,2359306,-5.7098583e-05,-3.0619974e-06,1.2605555e-05,0.00013470362,0.001707632,-0.04918872,4999,4999,0
123632249,123631709,2359306,2359306,-4.182933e-05,-1.229097e-06,1.7714381e-05,0.0003214962,0.0016106642,-0.049536858,5010,5010,0
124132288,124131764,2359306,2359306,4.635945e-05,4.27884e-06,-1.37606685e-05,0.00016617338,0.0017766037,-0.049283497,4991,4991,0
124632452,124631852,2359306,2359306,1.5171708e-05,1.12966845e-05,-3.335607e-06,0.00040573077,0.0016821666,-0.049196746,5012,5012,0
125132399,125131892,2359306,2359306,7.219051e-05,1.9037276e-05,4.0398254e-06,0.00032251497,0.0017955013,-0.048938688,5004,5004,0
125632475,125631951,2359306,2359306,-1.5085218e-05,4.85163e-06,-7.788817e-06,0.00024775887,0.0020166815,-0.049265224,5000,5000,0
126132565,126132016,2359306,2359306,-7.3058516e-05,-4.45903e-06,1.0792866e-05,0.0002480296,0.0015849645,-0.049092043,5003,5003,0
126632648,126632078,2359306,2359306,3.283786e-05,-1.198645e-06,-7.85203e-06,0.00017989667,0.0014524146,-0.049339715,4998,4998,0
127132650,127132145,2359306,2359306,1.4251307e-05,5.7231687e-06,-2.3773462e-06,0.00022064224,0.0020062462,-0.049178183,5002,5002,0
127632714,127632210,2359306,2359306,-8.810608e-06,9.332025e-06,1.0251174e-06,0.00022593286,0.0016527374,-0.04952531,5003,5003,0
128132804,128132286,2359306,2359306,2.4306602e-05,7.009483e-06,-1.2119546e-05,0.0004568588,0.0019031452,-0.04886911,5008,5008,0
128632967,128632339,2359306,2359306,-7.882069e-05,7.967585e-06,1.341991e-05,0.0002698516,0.00176011,-0.048897956,4988,4988,0
129132919,129132405,2359306,2359306,-4.659944e-05,1.4938995e-05,-6.097347e-06,0.00021028344,0.0020015333,-0.048919573,4986,4986,0
129632998,129632474,2359306,2359306,0.00011353231,1.2696662e-05,1.4025663e-05,0.00010357204,0.0016978248,-0.049092636,5001,5001,0
130133050,130132539,2359306,2359306,2.1702088e-05,1.0193479e-05,-1.5145626e-05,0.00023283088,0.0019296702,-0.04864776,4998,4998,0
130633180,130632616,2359306,2359306,-1.9184241e-05,-1.9205254e-06,1.371935e-05,0.00018247805,0.0014923991,-0.04907176,4983,4983,0
131133230,131132675,2359306,2359306,2.5849e-05,4.4041835e-06,-3.1284756e-06,0.00025174615,0.0019822347,-0.04878032,4998,4998,0
131633269,131632756,2359306,2359306,-3.706851e-05,1.8108557e-06,4.6175046e-06,0.0002181284,0.0016580377,-0.049508713,5013,5013,0
132128375,132127811,2359306,2359306,5.5002685e-05,8.604441e-07,-6.720574e-06,0.00028765312,0.001781508,-0.04893307,5000,5000,0
132633509,132632881,2359306,2359306,1.5818947e-05,-8.049768e-06,-4.030469e-06,0.0002768923,0.001962387,-0.04930762,5000,5000,0
133128467,133127950,2359306,2359306,6.874731e-06,5.9876816e-06,-3.0759502e-06,0.00036098345,0.0019931702,-0.049167648,5000,5000,0
133628574,133628021,2359306,2359306,-3.4716424e-05,1.1199857e-05,1.6369378e-05,0.00030670367,0.0015471976,-0.048915036,5001,5001,0
134128627,134128091,2359306,2359306,-6.750975e-05,1.0210269e-05,1.2613227e-05,0.000115547744,0.0017098653,-0.0493746,5001,5001,0
134628669,134628165,2359306,2359306,4.75703e-05,1.6776553e-06,-8.41104e-07,0.00032643994,0.0015700647,-0.048903443,5002,5002,0
135128747,135128236,2359306,2359306,5.8329013e-05,1.1843123e-05,-1.2302051e-05,0.0002257243,0.001987069,-0.04905895,5003,5003,0
135628819,135628305,2359306,2359306,4.003916e-05,9.850296e-06,-1.3100532e-05,0.0002838311,0.0019306131,-0.048972372,5000,5000,0
136128973,136128378,2359306,2359306,-4.654539e-05,6.4258074e-06,5.040067e-06,0.000283504,0.0019065157,-0.04928359,4998,4998,0
136629010,136628450,2359306,2359306,-6.622252e-05,2.5234763e-06,1.8235718e-06,0.00020344861,0.0017673472,-0.049242068,4998,4998,0
137129036,137128523,2359306,2359306,2.3812077e-06,6.795291e-06,1.6238882e-06,0.00032293232,0.0015420896,-0.048686445,4980,4980,0
137629109,137628596,2359306,2359306,5.341607e-05,-5.802032e-07,-1.5984675e-05,0.00022836718,0.0016796261,-0.049269103,5000,5000,0
138129202,138128680,2359306,2359306,1.5765278e-05,1.1484144e-05,-4.0798445e-06,8.503797e-05,0.0018300059,-0.049224317,5001,5001,0
138629436,138628745,2359306,2359306,-5.1225055e-05,1.0290571e-05,-5.9410568e-06,0.00017220397,0.0018906092,-0.04908799,4999,4999,0
139129508,139128819,2359306,2359306,-9.4411735e-05,-7.950118e-06,1.6257902e-05,0.00019643796,0.0014212272,-0.049574703,5000,5000,0
139629641,139628898,2359306,2359306,0.0001193906,4.0781478e-07,-1.8194702e-05,0.0002829278,0.0013195772,-0.049163945,5004,5004,0
140129601,140128973,2359306,2359306,0.00013604932,-9.3336475e-06,-8.92698e-06,0.00031994373,0.0019277339,-0.04907513,4996,4996,0
140629756,140629051,2359306,2359306,-3.14536e-05,4.605411e-07,-7.1612253e-06,0.00033528995,0.0020598734,-0.049040664,5006,5006,0
142629895,142629362,2359306,2359306,1.9924195e-05,2.0871378e-06,-6.9393914e-06,0.00024940696,0.0017590954,-0.049146015,4999,4999,0
143130896,143129432,2359306,2359306,-3.0969837e-05,1.0079171e-05,2.7029762e-06,0.00026078153,0.0018059813,-0.048956152,5001,5001,0
143630860,143629511,2359306,2359306,-2.6975298e-05,9.530036e-06,3.3111958e-06,0.000274163,0.0015491123,-0.049115818,5001,5001,0
144130976,144129589,2359306,2359306,-1.6485681e-05,9.095525e-06,4.892406e-06,0.00028992275,0.0016369736,-0.04902138,5000,5000,0
144631133,144629668,2359306,2359306,-4.879653e-06,-3.0130457e-06,-7.4422765e-06,0.00029451065,0.0018097735,-0.04898838,5000,5000,0
145130924,145129758,2359306,2359306,3.1565753e-05,-5.789656e-06,8.1406e-06,0.00024352245,0.0017918772,-0.049056243,5010,5010,0
