timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
66129510,66128849,2359330,2359330,3.7036967e-05,8.149781e-06,-3.875473e-06,0.00024846377,0.0012461676,-0.048974056,5000,5000,0
66629484,66628858,2359330,2359330,-5.853704e-07,-5.754623e-06,6.939923e-07,0.000120818804,0.0012699404,-0.04920107,5009,5009,0
68129417,68128849,2359330,2359330,1.612611e-05,3.8031135e-06,-3.2816233e-06,7.697135e-05,0.0012699547,-0.049248397,5000,5000,0
68629454,68628849,2359330,2359330,2.1610564e-05,1.578222e-05,-9.181496e-06,7.217008e-05,0.0010892664,-0.049016107,5000,5000,0
69129476,69128849,2359330,2359330,6.040203e-06,1.9568704e-07,-1.0571102e-05,0.00012326984,0.0013373696,-0.04904725,5000,5000,0
69629502,69628889,2359330,2359330,-2.6557978e-05,5.532873e-06,1.065711e-05,0.00012102196,0.0012112848,-0.04902268,5000,5000,0
70129481,70128849,2359330,2359330,-5.3446274e-06,-9.4348746e-07,-6.252912e-07,0.00010852882,0.0012831823,-0.049011976,4994,4994,0
70629444,70628849,2359330,2359330,1.77528e-05,6.141815e-06,-1.12371035e-05,6.1129984e-05,0.0010999179,-0.04918969,5000,5000,0
71129445,71128849,2359330,2359330,2.8619195e-05,-3.4856396e-06,-2.0074558e-06,8.670937e-05,0.001410347,-0.048954953,5000,5000,0
71629486,71628851,2359330,2359330,-3.2783468e-05,3.415051e-07,5.1763936e-06,5.8741167e-05,0.0012394531,-0.049169954,5002,5002,0
72129478,72128849,2359330,2359330,-2.963373e-05,9.551128e-06,1.40492975e-05,0.00017550793,0.0012211645,-0.04898855,5000,5000,0
72629473,72628850,2359330,2359330,7.011665e-05,4.444117e-06,-8.172229e-06,9.803279e-05,0.0014065803,-0.049024243,5000,5000,0
73129414,73128854,2359330,2359330,1.2416965e-05,1.1956321e-05,-1.2613626e-05,0.00010936612,0.0013474829,-0.049011525,5005,5005,0
73629479,73628849,2359330,2359330,-1.1053095e-05,-7.2460216e-06,-3.8928106e-06,3.3364122e-05,0.0012790207,-0.04937692,4999,4999,0
74129478,74128849,2359330,2359330,-1.1756725e-06,7.5328785e-06,3.0988733e-06,0.00020917706,0.0011850371,-0.049142644,4998,4998,0
74629462,74628879,2359330,2359330,-8.859308e-06,4.4641392e-06,-1.8946823e-06,0.0001318019,0.0013247925,-0.04920508,5012,5012,0
75129490,75128852,2359330,2359330,-3.5464393e-05,-1.3709682e-06,1.6691788e-06,7.202341e-05,0.0012882174,-0.049151402,4995,4995,0
75629444,75628852,2359330,2359330,-1.0204889e-05,-8.097445e-06,6.500215e-07,0.00015855378,0.0012575266,-0.049219485,4999,4999,0
76129457,76128864,2359330,2359330,2.3201546e-05,1.0371101e-05,-4.2882275e-06,0.0001868047,0.0012232978,-0.049199183,5015,5015,0
76629518,76628850,2359330,2359330,5.1340417e-06,5.7546863e-06,-3.8488574e-06,0.00012108753,0.0013004745,-0.049026944,4998,4998,0
77129481,77128849,2359330,2359330,-2.611282e-05,-6.3266352e-06,1.6666175e-07,0.00018341011,0.0011376298,-0.049141936,5000,5000,0
77629556,77628881,2359330,2359330,-6.1072815e-06,6.7917745e-06,4.270087e-06,9.721364e-05,0.0012529304,-0.04935691,5032,5032,0
78129509,78128899,2359330,2359330,1.970483e-05,9.895944e-06,-5.7855127e-06,0.00019916553,0.001160648,-0.0494028,5048,5048,0
78629444,78628849,2359330,2359330,6.945855e-06,3.4187071e-06,1.618534e-06,0.00017245083,0.0012342946,-0.04909207,4998,4998,0
79129454,79128849,2359330,2359330,-1.6395858e-05,9.224804e-06,4.2768565e-06,0.000121552504,0.00134771,-0.04908414,5000,5000,0
79629576,79628874,2359330,2359330,1.3178496e-05,6.624206e-06,-8.354057e-06,0.0001370137,0.0012835697,-0.04898588,5001,5001,0
80129508,80128852,2359330,2359330,9.403898e-06,-3.2437026e-06,2.3688808e-06,0.00016101376,0.0012456893,-0.04872632,4962,4962,0
