timestamp,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2]
65628862,2359330,0.00058980536,0.00083125354,-3.782626e-05,2359330,0.0,0.0,-0.016625697,592905,0.0,0.0,0.0
66628858,2359330,0.0005795061,0.00082115276,-4.080034e-05,2359330,0.0,0.0,-0.015409071,592905,0.0,0.0,0.0
68628849,2359330,0.00058014237,0.00078601023,-5.7853445e-05,2359330,0.0,0.0,-0.015128537,592905,0.0,0.0,0.0
69628889,2359330,0.00058527855,0.00078751834,-6.166523e-05,2359330,0.0,0.0,-0.014189335,592905,0.0,0.0,0.0
70628849,2359330,0.00057959266,0.00077465456,-6.626012e-05,2359330,0.0,0.0,-0.014405582,592905,0.0,0.0,0.0
71628851,2359330,0.00059892685,0.0007670912,-8.726239e-05,2359330,0.0,0.0,-0.015558515,592905,0.0,0.0,0.0
72628850,2359330,0.00061416894,0.0007648919,-7.430782e-05,2359330,0.0,0.0,-0.015986754,592905,0.0,0.0,0.0
73628849,2359330,0.0006181048,0.0007686007,-6.7387286e-05,2359330,0.0,0.0,-0.01623462,592905,0.0,0.0,0.0
74628879,2359330,0.0006327727,0.00077079027,-7.646572e-05,2359330,0.0,0.0,-0.015908074,592905,0.0,0.0,0.0
75628852,2359330,0.0006427136,0.0007663596,-6.625946e-05,2359330,0.0,0.0,-0.015200273,592905,0.0,0.0,0.0
76628850,2359330,0.0006453204,0.0007633481,-6.229593e-05,2359330,0.0,0.0,-0.014935248,592905,0.0,0.0,0.0
77628881,2359330,0.00065160607,0.000774933,-5.1198083e-05,2359330,0.0,0.0,-0.015061492,592905,0.0,0.0,0.0
78628849,2359330,0.00066085206,0.00078538986,-3.5586167e-05,2359330,0.0,0.0,-0.015405147,592905,0.0,0.0,0.0
79628874,2359330,0.00065717706,0.00079137913,-1.9721176e-05,2359330,0.0,0.0,-0.0156395,592905,0.0,0.0,0.0
