timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
66622952,66622936,1114146,5.4269214,-2.4478574,-6.963114,35.5,0,0,0,0
68623202,68623186,1114146,5.448457,-2.6488545,-6.783652,35.5,0,0,0,0
69622802,69622786,1114146,5.52742,-2.3976083,-6.8697934,35.5,0,0,0,0
70623544,70623528,1114146,5.592026,-2.426322,-7.149754,35.375,0,0,0,0
71622005,71621989,1114146,5.4987063,-2.3688943,-7.077969,35.5,0,0,0,0
72624762,72624746,1114146,5.3479586,-2.656033,-7.063612,35.5,0,0,0,0
73622261,73622245,1114146,5.534599,-2.4909282,-6.876972,35.5,0,0,0,0
74621912,74621896,1114146,5.462814,-2.6201408,-6.7908306,35.5,0,0,0,0
75623616,75623596,1114146,5.362315,-2.519642,-6.74776,35.5,0,0,0,0
76623202,76623186,1114146,5.477171,-2.4335005,-6.848258,35.625,0,0,0,0
77623805,77623789,1114146,5.448457,-2.3617158,-6.7190456,35.625,0,0,0,0
78623420,78623404,1114146,5.592026,-2.5411775,-6.7764735,35.5,0,0,0,0
79621963,79621944,1114146,5.362315,-2.4047866,-6.8841505,35.625,0,0,0,0
80624705,80624689,1114146,5.3910294,-2.4478574,-7.02772,35.375,0,0,0,0
81624406,81624388,1114146,5.34078,-2.5052853,-6.9343996,35.625,0,0,0,0
82624410,82624392,1114146,5.5633125,-2.7062824,-6.9774704,35.625,0,0,0,0
83621914,83621898,1114146,5.5776696,-2.548356,-7.020541,35.75,0,0,0,0
85621914,85621898,1114146,5.5489554,-2.562713,-6.8339014,35.75,0,0,0,0
86623376,86623360,1114146,5.706882,-2.333002,-6.905686,35.5,0,0,0,0
87622952,87622936,1114146,5.405386,-2.5052853,-6.9343996,35.625,0,0,0,0
88622577,88622558,1114146,5.6207404,-2.3832512,-6.855437,35.5,0,0,0,0
89623235,89623219,1114146,5.6063833,-2.426322,-6.891329,35.625,0,0,0,0
90621892,90621876,1114146,5.304888,-2.4765713,-6.955935,35.625,0,0,0,0
91624516,91624488,1114146,5.4915276,-2.6057837,-7.013363,35.625,0,0,0,0
93623702,93623686,1114146,5.4987063,-2.426322,-6.9343996,35.625,0,0,0,0
94624476,94624460,1114146,5.5202417,-2.6201408,-6.905686,35.75,0,0,0,0
95620805,95620789,1114146,5.541777,-2.519642,-6.905686,35.75,0,0,0,0
96623571,96623553,1114146,5.4987063,-2.3904297,-6.7908306,35.875,0,0,0,0
97623155,97623139,1114146,5.6135616,-2.7852454,-6.7908306,35.625,0,0,0,0
98621920,98621903,1114146,5.419743,-2.426322,-6.798009,35.625,0,0,0,0
100620908,100620892,1114146,5.5489554,-2.6057837,-6.999006,35.875,0,0,0,0
101624707,101624691,1114146,5.4915276,-2.2899313,-6.754938,35.75,0,0,0,0
